ltla,round,mid_round_date,positive,number_samples,m,l,u
Doncaster,8,2021-01-14,6,491,1.2219959266802443,0.5612223071996875,2.640097739517392
Dorset,7,2020-11-23,1,620,0.16129032258064516,0.008273111997992029,0.9078917482784433
Dorset,8,2021-01-14,10,630,1.5873015873015872,0.8644343179202241,2.89698874598803
Dover,7,2020-11-23,4,563,0.7104795737122558,0.2766284134606504,1.81239641639744
Dover,8,2021-01-14,6,568,1.056338028169014,0.48500337191971116,2.2852502668010435
Dudley,7,2020-11-23,7,536,1.3059701492537312,0.6340210334122465,2.6709231366167696
Dudley,8,2021-01-14,12,487,2.4640657084188913,1.4150626987411097,4.257127031846562
Ealing,7,2020-11-23,3,472,0.6355932203389831,0.21638966580789287,1.8518325620502658
Ealing,8,2021-01-14,11,514,2.140077821011673,1.1991073447504368,3.791118598059193
East Cambridgeshire,7,2020-11-23,1,581,0.17211703958691912,0.008828449980645539,0.9684213098668699
East Cambridgeshire,8,2021-01-14,4,606,0.6600660066006601,0.25697740839329597,1.6847500109909204
East Devon,7,2020-11-23,5,627,0.7974481658692184,0.3410893351336683,1.8530370380076255
East Devon,8,2021-01-14,4,675,0.5925925925925926,0.2306818756867776,1.5136810630862165
East Hampshire,7,2020-11-23,3,583,0.5145797598627788,0.17515464795617075,1.5018670881139669
East Hampshire,8,2021-01-14,4,638,0.6269592476489028,0.24407438104385226,1.600845210540551
East Hertfordshire,7,2020-11-23,0,610,0,4.309668665826268e-17,0.6258063487719281
East Hertfordshire,8,2021-01-14,14,614,2.2801302931596092,1.362998854781681,3.7906628760888186
East Lindsey,7,2020-11-23,13,646,2.0123839009287927,1.1797560987057727,3.412357626209407
East Lindsey,8,2021-01-14,2,593,0.33726812816188867,0.09253986346603457,1.2212862296790616
East Northamptonshire,7,2020-11-23,3,587,0.5110732538330494,0.17396006543270587,1.4917082240501358
East Northamptonshire,8,2021-01-14,5,556,0.8992805755395683,0.3847132098036248,2.0876758215216284
East Riding of Yorkshire,7,2020-11-23,3,614,0.4885993485342019,0.16630407914890616,1.426573621139939
East Riding of Yorkshire,8,2021-01-14,4,609,0.6568144499178982,0.2557100817117977,1.6765121350228427
East Staffordshire,7,2020-11-23,10,517,1.9342359767891684,1.0539668233008455,3.523521857165706
East Staffordshire,8,2021-01-14,4,506,0.7905138339920948,0.30783244871245524,2.014744229944555
East Suffolk,7,2020-11-23,4,583,0.6861063464837049,0.2671274022302586,1.7507018841481277
East Suffolk,8,2021-01-14,9,608,1.4802631578947367,0.780689360711019,2.7891012289611607
Eastbourne,7,2020-11-23,4,530,0.7547169811320755,0.2938747847934269,1.924285424579037
Eastbourne,8,2021-01-14,11,597,1.8425460636515913,1.0319052825993487,3.2689728344691096
Eastleigh,7,2020-11-23,5,593,0.8431703204047217,0.3606743017463161,1.9584438855263342
Eastleigh,8,2021-01-14,9,606,1.4851485148514851,0.7832722022136239,2.798225661662496
Eden,7,2020-11-23,0,546,0,0,0.6986484483969846
Eden,8,2021-01-14,5,525,0.9523809523809524,0.40746690866574375,2.209850359076521
Elmbridge,7,2020-11-23,2,531,0.3766478342749529,0.10335126273046591,1.362776445092382
Elmbridge,8,2021-01-14,5,586,0.8532423208191127,0.36498903256668963,1.9816515118887976
Enfield,7,2020-11-23,4,490,0.8163265306122449,0.31789822635220205,2.0799277579164794
Enfield,8,2021-01-14,16,456,3.508771929824561,2.1711247246198146,5.623183103259135
Epping Forest,7,2020-11-23,5,460,1.0869565217391304,0.4651517211011756,2.5189409160437886
Epping Forest,8,2021-01-14,10,448,2.232142857142857,1.216886900303612,4.059622892073634
Epsom and Ewell,7,2020-11-23,3,564,0.5319148936170213,0.18106051928192152,1.5520744372837874
Epsom and Ewell,8,2021-01-14,16,614,2.6058631921824107,1.6102590613725998,4.190817947785474
Erewash,7,2020-11-23,2,523,0.3824091778202677,0.10493310764876979,1.3834575057715943
Erewash,8,2021-01-14,7,558,1.2544802867383513,0.6089706144626663,2.5665620096593353
Exeter,7,2020-11-23,0,545,0,4.306454437857203e-17,0.6999213996967975
Exeter,8,2021-01-14,3,534,0.5617977528089888,0.19124205785642445,1.6385645997175644
Fareham,7,2020-11-23,3,603,0.4975124378109453,0.16934035312493212,1.4524108765651969
Fareham,8,2021-01-14,3,603,0.4975124378109453,0.16934035312493212,1.4524108765651969
Fenland,7,2020-11-23,5,576,0.8680555555555556,0.37133512706376365,2.015775799575643
Fenland,8,2021-01-14,11,552,1.9927536231884055,1.1162964701255995,3.5327735858433953
Folkestone and Hythe,7,2020-11-23,5,551,0.9074410163339384,0.3882097160537645,2.106459454868305
Folkestone and Hythe,8,2021-01-14,7,588,1.1904761904761905,0.5778379884175715,2.4367292668479004
Forest of Dean,7,2020-11-23,2,550,0.36363636363636365,0.09977891479821578,1.316052041120307
Forest of Dean,8,2021-01-14,8,497,1.6096579476861168,0.8178455306571316,3.143779145425755
Fylde,7,2020-11-23,4,526,0.7604562737642585,0.29611249471991435,1.9387935556768405
Fylde,8,2021-01-14,3,537,0.5586592178770949,0.19017266381460343,1.629484217178478
Gateshead,7,2020-11-23,5,492,1.0162601626016259,0.43484490864850367,2.356664065533396
Gateshead,8,2021-01-14,4,445,0.8988764044943821,0.35009493094153604,2.2881325741126757
Gedling,7,2020-11-23,8,536,1.4925373134328357,0.758189371783798,2.9172339393562186
Gedling,8,2021-01-14,6,536,1.1194029850746268,0.5140143431660495,2.4204506857519665
Gloucester,7,2020-11-23,7,492,1.4227642276422763,0.690858985630675,2.9073594576451502
Gloucester,8,2021-01-14,2,458,0.43668122270742354,0.11983553963812099,1.5780325644331732
Gosport,7,2020-11-23,4,559,0.7155635062611807,0.2786102990710527,1.8252608062141198
Gosport,8,2021-01-14,5,558,0.8960573476702508,0.3833321796473073,2.0802558314167676
Gravesham,7,2020-11-23,7,542,1.2915129151291513,0.6269869773377181,2.641628576204349
Gravesham,8,2021-01-14,15,505,2.9702970297029703,1.8081575785310178,4.84253061404002
Great Yarmouth,7,2020-11-23,3,544,0.5514705882352942,0.1877233222039337,1.6086830399358087
Great Yarmouth,8,2021-01-14,6,519,1.1560693641618496,0.5308844020969065,2.4989936906667496
Greenwich,7,2020-11-23,2,511,0.3913894324853229,0.10739879955255856,1.4156834399112022
Greenwich,8,2021-01-14,12,510,2.3529411764705883,1.351008790716462,4.067288690493488
Guildford,7,2020-11-23,7,637,1.098901098901099,0.5333061586102783,2.2507613474975194
Guildford,8,2021-01-14,10,683,1.4641288433382138,0.7971958224226641,2.673977694334737
Hackney,7,2020-11-23,1,446,0.2242152466367713,0.01150073865191717,1.2589689931501993
Hackney,8,2021-01-14,10,441,2.2675736961451247,1.2362739876836832,4.123266663922735
Halton,7,2020-11-23,4,390,1.0256410256410255,0.3995544320242873,2.6071018139056865
Halton,8,2021-01-14,4,367,1.08991825613079,0.42464161547315915,2.7684907970545343
Hambleton,7,2020-11-23,4,582,0.6872852233676976,0.26758692593135475,1.753686686989643
Hambleton,8,2021-01-14,7,587,1.192504258943782,0.5788243697647256,2.440845044819902
Hammersmith and Fulham,7,2020-11-23,4,518,0.7722007722007722,0.300691730061879,1.9684761600200158
Hammersmith and Fulham,8,2021-01-14,14,508,2.7559055118110236,1.6486063365660584,4.572354914610875
Harborough,7,2020-11-23,7,603,1.1608623548922055,0.5634356321524409,2.376617088597117
Harborough,8,2021-01-14,7,571,1.2259194395796849,0.5950773202118143,2.5086408523250894
Haringey,7,2020-11-23,5,488,1.0245901639344261,0.43841551072002305,2.375795973989356
Haringey,8,2021-01-14,12,459,2.6143790849673203,1.501741708081166,4.513592115218352
Harlow,7,2020-11-23,6,514,1.1673151750972763,0.5360589821709687,2.52307399199658
Harlow,8,2021-01-14,11,477,2.3060796645702304,1.2924640488466106,4.081751994019695
Harrogate,7,2020-11-23,2,571,0.3502626970227671,0.0961072762924668,1.2680008095754405
Harrogate,8,2021-01-14,2,501,0.39920159680638717,0.10954382745995618,1.4437079278558045
Harrow,7,2020-11-23,6,546,1.098901098901099,0.5045824312915365,2.376513303953866
Harrow,8,2021-01-14,17,463,3.6717062634989204,2.30486810082233,5.800979849419037
Hart,7,2020-11-23,5,590,0.847457627118644,0.36251091700914556,1.9683231153909815
Hart,8,2021-01-14,5,589,0.8488964346349746,0.3631272857791086,1.9716383779158952
Hartlepool,7,2020-11-23,9,410,2.195121951219512,1.1590735182474114,4.118662280126868
Hartlepool,8,2021-01-14,7,464,1.5086206896551724,0.7326555339547608,3.080913888829567
Hastings,7,2020-11-23,6,521,1.1516314779270633,0.5288424347527066,2.4894897786150203
Hastings,8,2021-01-14,18,577,3.119584055459272,1.9822423981183364,4.877023278540807
Havant,7,2020-11-23,5,570,0.8771929824561403,0.37524982722915207,2.036820372288988
Havant,8,2021-01-14,6,573,1.0471204188481675,0.48076363853564835,2.265477738268424
Havering,7,2020-11-23,9,510,1.7647058823529411,0.9311411346208567,3.319481006850943
Havering,8,2021-01-14,16,480,3.3333333333333335,2.062027019724143,5.345659561755131
"Herefordshire, County of",7,2020-11-23,3,606,0.49504950495049505,0.1685013376284858,1.4452719928573505
"Herefordshire, County of",8,2021-01-14,4,562,0.7117437722419928,0.27712123675910244,1.8155954838173032
Hertsmere,7,2020-11-23,4,501,0.7984031936127743,0.31090884518940765,2.034670863805904
Hertsmere,8,2021-01-14,15,570,2.631578947368421,1.6011434511963514,4.296209955481855
High Peak,7,2020-11-23,7,563,1.2433392539964476,0.6035509492440859,2.5439709094804033
High Peak,8,2021-01-14,3,552,0.5434782608695652,0.18500021067366437,1.5855512054755272
Hillingdon,7,2020-11-23,5,469,1.0660980810234542,0.45620914841665433,2.4710846754404736
Hillingdon,8,2021-01-14,13,473,2.748414376321353,1.613098703899567,4.645052358404636
Hinckley and Bosworth,7,2020-11-23,7,599,1.1686143572621035,0.5672055913855755,2.392355095697294
Hinckley and Bosworth,8,2021-01-14,6,514,1.1673151750972763,0.5360589821709687,2.52307399199658
Horsham,7,2020-11-23,2,602,0.33222591362126247,0.09115565802464763,1.2031530602921845
Horsham,8,2021-01-14,7,618,1.132686084142395,0.549733764685216,2.31939928645132
Hounslow,7,2020-11-23,2,528,0.3787878787878788,0.10393883389593095,1.3704589759479622
Hounslow,8,2021-01-14,15,500,3,1.8263213197913384,4.890366683594571
Huntingdonshire,7,2020-11-23,1,614,0.16286644951140067,0.008353956740643416,0.9167067068566512
Huntingdonshire,8,2021-01-14,8,588,1.3605442176870748,0.6909859557968834,2.661509636558255
Hyndburn,7,2020-11-23,3,398,0.7537688442211055,0.25667390768225956,2.192416051720234
Hyndburn,8,2021-01-14,4,383,1.0443864229765014,0.4068701218597184,2.654192375627861
Ipswich,7,2020-11-23,1,586,0.17064846416382254,0.008753121909138325,0.9602138871110515
Ipswich,8,2021-01-14,6,570,1.0526315789473684,0.4832985366779862,2.2772999835561603
Isle of Wight,7,2020-11-23,2,639,0.3129890453834116,0.08587488992224733,1.1339373535319073
Isle of Wight,8,2021-01-14,15,623,2.4077046548956664,1.4644353958789063,3.934291562028701
Islington,7,2020-11-23,6,456,1.3157894736842104,0.604395821900912,2.8405869035194984
Islington,8,2021-01-14,5,488,1.0245901639344261,0.43841551072002305,2.375795973989356
Kensington and Chelsea,7,2020-11-23,2,509,0.3929273084479371,0.10782105826460317,1.4212009593246084
Kensington and Chelsea,8,2021-01-14,11,481,2.2869022869022873,1.2816764528761617,4.048201665127545
Kettering,7,2020-11-23,3,536,0.5597014925373134,0.1905277971512011,1.6324998084338151
Kettering,8,2021-01-14,4,551,0.7259528130671506,0.2826605034516867,1.8515453372334956
King's Lynn and West Norfolk,7,2020-11-23,4,604,0.6622516556291391,0.25782929489063233,1.690287051708755
King's Lynn and West Norfolk,8,2021-01-14,1,584,0.17123287671232876,0.008783098354032633,0.9634801054489093
"Kingston upon Hull, City of",7,2020-11-23,11,520,2.1153846153846154,1.1852245614868318,3.747844096131466
"Kingston upon Hull, City of",8,2021-01-14,6,482,1.2448132780082988,0.5717239357108096,2.688899161203736
Kingston upon Thames,7,2020-11-23,1,520,0.19230769230769232,0.009864095074528957,1.0811645081240573
Kingston upon Thames,8,2021-01-14,12,600,2,1.1477178627043527,3.463005434610916
Kirklees,7,2020-11-23,9,492,1.8292682926829267,0.9653102233985288,3.4396176889712233
Kirklees,8,2021-01-14,6,467,1.284796573875803,0.5901281348220059,2.774371427381345
Knowsley,7,2020-11-23,1,358,0.27932960893854747,0.014327735862444294,1.5650441212093469
Knowsley,8,2021-01-14,8,308,2.5974025974025974,1.3218978587298666,5.040777231275652
Lambeth,7,2020-11-23,4,508,0.7874015748031495,0.30661886962481744,2.0068824336844884
Lambeth,8,2021-01-14,13,540,2.4074074074074074,1.4122045879256948,4.074956851624085
Lancaster,7,2020-11-23,1,550,0.18181818181818182,0.009326053525009195,1.0226141966901887
Lancaster,8,2021-01-14,6,514,1.1673151750972763,0.5360589821709687,2.52307399199658
Leeds,7,2020-11-23,5,480,1.0416666666666665,0.4457355664744669,2.415007052488164
Leeds,8,2021-01-14,0,479,0,0,0.7955942370973308
Leicester,7,2020-11-23,8,406,1.9704433497536946,1.001761780934526,3.8394904627470416
Leicester,8,2021-01-14,6,344,1.744186046511628,0.8017658050681916,3.7524523362661646
Lewes,7,2020-11-23,2,646,0.30959752321981426,0.08494390638107364,1.121728692644
Lewes,8,2021-01-14,12,575,2.086956521739131,1.1977829035052088,3.612076237790074
Lewisham,7,2020-11-23,2,541,0.36968576709796674,0.10143978304027124,1.3377786710155033
Lewisham,8,2021-01-14,11,511,2.152641878669276,1.2061714159376358,3.813132755852855
Lichfield,7,2020-11-23,6,563,1.0657193605683837,0.48931854922074636,2.305370966548277
Lichfield,8,2021-01-14,5,512,0.9765625,0.41783017067402956,2.265447527155489
Lincoln,7,2020-11-23,7,542,1.2915129151291513,0.6269869773377181,2.641628576204349
Lincoln,8,2021-01-14,2,509,0.3929273084479371,0.10782105826460317,1.4212009593246084
Liverpool,7,2020-11-23,3,324,0.9259259259259258,0.3153882984441191,2.6865074520493226
Liverpool,8,2021-01-14,8,384,2.083333333333333,1.0593552545021132,4.056513193658602
Luton,7,2020-11-23,3,435,0.6896551724137931,0.23481655997768322,2.007783500449889
Luton,8,2021-01-14,16,435,3.67816091954023,2.2765153057712153,5.89077566008499
