ltla,round,mid_round_date,positive,number_samples,m,l,u
Adur,7,2020-11-23,3,548,0.5474452554744526,0.18635181892698663,1.5970333659639224
Adur,8,2021-01-14,16,568,2.8169014084507045,1.741214740336863,4.52651178907739
Allerdale,7,2020-11-23,0,526,0,0,0.7250204295534617
Allerdale,8,2021-01-14,3,496,0.6048387096774194,0.20590855634457828,1.763007516346484
Amber Valley,7,2020-11-23,6,577,1.0398613518197575,0.4774248511095085,2.249904367582573
Amber Valley,8,2021-01-14,5,570,0.8771929824561403,0.37524982722915207,2.036820372288988
Arun,7,2020-11-23,1,568,0.17605633802816903,0.00903050957527299,0.9904321634126061
Arun,8,2021-01-14,4,568,0.7042253521126761,0.2741903579067672,1.796568702675288
Ashfield,7,2020-11-23,9,545,1.651376146788991,0.8711800555763557,3.108376967616694
Ashfield,8,2021-01-14,9,575,1.565217391304348,0.8256098027466982,2.947696080559059
Ashford,7,2020-11-23,1,557,0.17953321364452424,0.009208849979811595,1.0098535506515836
Ashford,8,2021-01-14,9,553,1.62748643761302,0.8585432393213333,3.063840497505846
Babergh,7,2020-11-23,1,613,0.1631321370309951,0.008367584728801074,0.9181925354368249
Babergh,8,2021-01-14,7,588,1.1904761904761905,0.5778379884175715,2.4367292668479004
Barking and Dagenham,7,2020-11-23,10,405,2.4691358024691357,1.346607854708517,4.484860140113966
Barking and Dagenham,8,2021-01-14,8,317,2.5236593059936907,1.2842080132997364,4.8999861658517645
Barnet,7,2020-11-23,5,490,1.0204081632653061,0.43662290988735425,2.3661913483055232
Barnet,8,2021-01-14,10,524,1.9083969465648856,1.0398433910759899,3.476940658809146
Barnsley,7,2020-11-23,1,490,0.20408163265306123,0.010468019262765424,1.1468266546600792
Barnsley,8,2021-01-14,2,443,0.4514672686230248,0.12389604408630236,1.6309677148382469
Barrow-in-Furness,7,2020-11-23,3,468,0.641025641025641,0.21824114259414956,1.8675142815458912
Barrow-in-Furness,8,2021-01-14,8,429,1.8648018648018647,0.9478861617590888,3.6361153049103763
Basildon,7,2020-11-23,4,451,0.8869179600886918,0.34543024391996247,2.257995321418007
Basildon,8,2021-01-14,9,476,1.8907563025210083,0.9978590193745079,3.5539483368247367
Basingstoke and Deane,7,2020-11-23,2,550,0.36363636363636365,0.09977891479821578,1.316052041120307
Basingstoke and Deane,8,2021-01-14,12,624,1.9230769230769231,1.1034410543162043,3.3310317619565732
Bassetlaw,7,2020-11-23,3,548,0.5474452554744526,0.18635181892698663,1.5970333659639224
Bassetlaw,8,2021-01-14,3,512,0.5859375,0.19946757921860936,1.7083780683944112
Bath and North East Somerset,7,2020-11-23,6,566,1.0600706713780919,0.4867202773995605,2.293256253876095
Bath and North East Somerset,8,2021-01-14,4,608,0.6578947368421052,0.2561311327540162,1.6792491279295565
Bedford,7,2020-11-23,2,549,0.36429872495446264,0.09996076505930616,1.318431198058168
Bedford,8,2021-01-14,10,550,1.8181818181818181,0.9905417862011551,3.31420254829851
Bexley,7,2020-11-23,8,492,1.6260162601626018,0.8261796136128627,3.1753935642099265
Bexley,8,2021-01-14,11,546,2.0146520146520146,1.1286030614792353,3.571198746139849
Birmingham,7,2020-11-23,5,472,1.059322033898305,0.45330421420233663,2.455534131871632
Birmingham,8,2021-01-14,9,449,2.0044543429844097,1.058062804355354,3.7651393109223497
Blaby,7,2020-11-23,7,548,1.2773722627737227,0.6201072863053486,2.6129696301738856
Blaby,8,2021-01-14,6,536,1.1194029850746268,0.5140143431660495,2.4204506857519665
Blackburn with Darwen,7,2020-11-23,4,404,0.9900990099009901,0.38568489306530546,2.5177616704436225
Blackburn with Darwen,8,2021-01-14,7,395,1.7721518987341773,0.861023943311932,3.612297078391344
Blackpool,7,2020-11-23,6,472,1.2711864406779663,0.5838631444130171,2.7452832607688564
Blackpool,8,2021-01-14,2,438,0.45662100456621,0.12531139350155537,1.6494108884734158
Bolsover,7,2020-11-23,8,551,1.4519056261343013,0.7374988420323086,2.838560319600421
Bolsover,8,2021-01-14,2,485,0.4123711340206186,0.11315997683531473,1.4909304044533869
Bolton,7,2020-11-23,7,453,1.545253863134658,0.7504929768785581,3.1549010008814
Bolton,8,2021-01-14,4,428,0.9345794392523363,0.36402292662464564,2.378061831293617
Boston,7,2020-11-23,15,580,2.586206896551724,1.5734296506296375,4.222914255651144
Boston,8,2021-01-14,2,522,0.38314176245210724,0.10513424945747152,1.386086857048695
"Bournemouth, Christchurch and Poole",7,2020-11-23,6,584,1.0273972602739725,0.47169222145451656,2.2231600355595895
"Bournemouth, Christchurch and Poole",8,2021-01-14,9,552,1.6304347826086956,0.8601027560683854,3.069337639945659
Bracknell Forest,7,2020-11-23,3,551,0.5444646098003629,0.18533627129554403,1.588406239152751
Bracknell Forest,8,2021-01-14,7,557,1.2567324955116697,0.6100662485732518,2.571128461641315
Bradford,7,2020-11-23,7,479,1.4613778705636742,0.7096553242367787,2.985441377747061
Bradford,8,2021-01-14,6,463,1.2958963282937366,0.5952377697021539,2.798089562602872
Braintree,7,2020-11-23,2,556,0.3597122302158274,0.0987015578586184,1.3019554847998793
Braintree,8,2021-01-14,5,569,0.8787346221441126,0.3759103160613522,2.040370595098512
Breckland,7,2020-11-23,4,635,0.6299212598425197,0.24522873575549767,1.6083545997020263
Breckland,8,2021-01-14,3,626,0.4792332268370607,0.16311357617198938,1.399415959295734
Brent,7,2020-11-23,2,393,0.5089058524173028,0.13967145968394215,1.8362961834138398
Brent,8,2021-01-14,14,418,3.349282296650718,2.005399313172523,5.54280586080695
Brentwood,7,2020-11-23,7,520,1.3461538461538463,0.6535739194057572,2.752315118254602
Brentwood,8,2021-01-14,10,511,1.9569471624266144,1.0663815828985255,3.564453485300106
Brighton and Hove,7,2020-11-23,0,561,0,4.3073142685685874e-17,0.6800950533472748
Brighton and Hove,8,2021-01-14,8,551,1.4519056261343013,0.7374988420323086,2.838560319600421
"Bristol, City of",7,2020-11-23,6,581,1.0327022375215147,0.4741321181751804,2.2345436403180186
"Bristol, City of",8,2021-01-14,8,584,1.36986301369863,0.6957295824538592,2.679578253182526
Broadland,7,2020-11-23,2,594,0.33670033670033667,0.09238399038102268,1.2192444865336156
Broadland,8,2021-01-14,3,635,0.47244094488188976,0.16079989629515884,1.379716719339263
Bromley,7,2020-11-23,2,554,0.36101083032490977,0.09905808245604518,1.3066206631272208
Bromley,8,2021-01-14,16,554,2.888086642599278,1.7854060666294833,4.639619942814998
Bromsgrove,7,2020-11-23,3,543,0.5524861878453038,0.18806935819224266,1.6116220627760927
Bromsgrove,8,2021-01-14,8,557,1.436265709156194,0.7295354122839157,2.8082663155725864
Broxbourne,7,2020-11-23,6,514,1.1673151750972763,0.5360589821709687,2.52307399199658
Broxbourne,8,2021-01-14,14,549,2.5500910746812386,1.5250046409713736,4.234595749458359
Broxtowe,7,2020-11-23,4,560,0.7142857142857143,0.2781121700951484,1.8220276183945445
Broxtowe,8,2021-01-14,5,549,0.9107468123861567,0.3896261794227462,2.1140678905227923
Buckinghamshire,7,2020-11-23,9,2343,0.3841229193341869,0.20222151165336144,0.728453150608214
Buckinghamshire,8,2021-01-14,22,2387,0.9216589861751152,0.6094396454152506,1.391590520938498
Burnley,7,2020-11-23,7,387,1.8087855297157622,0.8788776550573294,3.6860062430142997
Burnley,8,2021-01-14,5,426,1.1737089201877933,0.502351724454232,2.7177794510422686
Bury,7,2020-11-23,5,435,1.1494252873563218,0.49193761620365667,2.6621533527513974
Bury,8,2021-01-14,7,449,1.55902004454343,0.7571965884913093,3.1826941775082283
Calderdale,7,2020-11-23,7,494,1.417004048582996,0.6880552590869725,2.8957079057883788
Calderdale,8,2021-01-14,6,495,1.2121212121212122,0.5566777501760264,2.618972256570556
Cambridge,7,2020-11-23,1,571,0.17513134851138354,0.008983063815683113,0.9852643928317387
Cambridge,8,2021-01-14,7,620,1.129032258064516,0.5479570379355919,2.311977736906321
Camden,7,2020-11-23,5,498,1.0040160642570282,0.4295967404483235,2.328537044118013
Camden,8,2021-01-14,14,547,2.5594149908592323,1.530602412885522,4.249909985158018
Cannock Chase,7,2020-11-23,5,512,0.9765625,0.41783017067402956,2.265447527155489
Cannock Chase,8,2021-01-14,5,454,1.1013215859030838,0.4713107844012411,2.5518883064689675
Canterbury,7,2020-11-23,9,640,1.40625,0.7415644177835324,2.650801594293493
Canterbury,8,2021-01-14,8,621,1.288244766505636,0.6541877851951698,2.5212511266437247
Carlisle,7,2020-11-23,3,516,0.5813953488372093,0.19791980854032437,1.6952456275178804
Carlisle,8,2021-01-14,7,530,1.3207547169811322,0.6412147089265245,2.7008746934416585
Castle Point,7,2020-11-23,2,475,0.42105263157894735,0.1155438621520975,1.5220459238297424
Castle Point,8,2021-01-14,12,509,2.357563850687623,1.3536729209334526,4.0751898088304435
Central Bedfordshire,7,2020-11-23,3,546,0.5494505494505495,0.18703505633390274,1.602837035487291
Central Bedfordshire,8,2021-01-14,10,569,1.7574692442882252,0.9573711898344927,3.2045934259557853
Charnwood,7,2020-11-23,4,499,0.8016032064128256,0.31215668995021995,2.0427523202307833
Charnwood,8,2021-01-14,7,533,1.3133208255159476,0.6375975810767809,2.685815416847658
Chelmsford,7,2020-11-23,2,567,0.3527336860670194,0.09678565597083073,1.2768810074305725
Chelmsford,8,2021-01-14,10,550,1.8181818181818181,0.9905417862011551,3.31420254829851
Cheltenham,7,2020-11-23,6,511,1.1741682974559686,0.5392124349339944,2.5377462188972015
Cheltenham,8,2021-01-14,3,469,0.6396588486140725,0.2177753094270761,1.8635690052697655
Cherwell,7,2020-11-23,5,599,0.8347245409015025,0.35705634118537555,1.9389799745271195
Cherwell,8,2021-01-14,10,585,1.7094017094017095,0.9311139317365793,3.1177617823550805
Cheshire East,7,2020-11-23,4,571,0.7005253940455342,0.27274804431421723,1.7872040762212882
Cheshire East,8,2021-01-14,10,584,1.7123287671232876,0.9327127416045373,3.1230506726541267
Cheshire West and Chester,7,2020-11-23,6,547,1.0968921389396709,0.5036582431263932,2.3722071382865044
Cheshire West and Chester,8,2021-01-14,5,560,0.8928571428571428,0.3819610292022929,2.072888397734901
Chesterfield,7,2020-11-23,4,568,0.7042253521126761,0.2741903579067672,1.796568702675288
Chesterfield,8,2021-01-14,5,552,0.9057971014492754,0.3875053394760678,2.1026757366280746
Chichester,7,2020-11-23,1,597,0.16750418760469013,0.00859184160595487,0.9426382839213442
Chichester,8,2021-01-14,4,601,0.6655574043261231,0.25911776766924544,1.6986611920902803
Chorley,7,2020-11-23,7,460,1.5217391304347827,0.7390429156636634,3.107413342484456
Chorley,8,2021-01-14,6,474,1.2658227848101267,0.5813942372198827,2.7338180634855895
Colchester,7,2020-11-23,2,558,0.35842293906810035,0.0983475904272972,1.2973235010498883
Colchester,8,2021-01-14,6,593,1.0118043844856661,0.46452091047039323,2.189694641511442
Copeland,7,2020-11-23,2,555,0.36036036036036034,0.09887949878277814,1.3042839023796398
Copeland,8,2021-01-14,4,493,0.8113590263691683,0.3159610561062155,2.067386510902601
Corby,7,2020-11-23,2,424,0.4716981132075472,0.12945208940232533,1.7033433676598282
Corby,8,2021-01-14,8,430,1.8604651162790697,0.9456748931511753,3.6277604983461975
Cornwall,7,2020-11-23,0,566,0,4.3075730635449517e-17,0.674127647476572
Cornwall,8,2021-01-14,3,588,0.5102040816326531,0.17366396148358904,1.4891899454232131
Cotswold,7,2020-11-23,2,571,0.3502626970227671,0.0961072762924668,1.2680008095754405
Cotswold,8,2021-01-14,5,558,0.8960573476702508,0.3833321796473073,2.0802558314167676
County Durham,7,2020-11-23,4,515,0.7766990291262136,0.3024456706960848,1.979842804787213
County Durham,8,2021-01-14,6,496,1.2096774193548387,0.5555530877587914,2.6137436044503386
Coventry,7,2020-11-23,3,501,0.5988023952095809,0.20385151314762565,1.7455642190079106
Coventry,8,2021-01-14,10,489,2.044989775051125,1.1145175927376298,3.7230337930048876
Craven,7,2020-11-23,4,506,0.7905138339920948,0.30783244871245524,2.014744229944555
Craven,8,2021-01-14,2,482,0.4149377593360996,0.11386474945792582,1.500130655489208
Crawley,7,2020-11-23,4,530,0.7547169811320755,0.2938747847934269,1.924285424579037
Crawley,8,2021-01-14,10,502,1.9920318725099602,1.0855619731696342,3.6276655420833643
Croydon,7,2020-11-23,2,485,0.4123711340206186,0.11315997683531473,1.4909304044533869
Croydon,8,2021-01-14,10,523,1.9120458891013385,1.0418378050715316,3.4835195717115957
Dacorum,7,2020-11-23,1,548,0.18248175182481752,0.00936009021670631,1.0263195430310839
Dacorum,8,2021-01-14,9,577,1.559792027729636,0.8227407072378796,2.9375726259459674
Darlington,7,2020-11-23,3,509,0.5893909626719057,0.20064438728930356,1.7183617015173767
Darlington,8,2021-01-14,9,497,1.8108651911468814,0.9555697977157055,3.405382842291993
Dartford,7,2020-11-23,9,512,1.7578125,0.9274933048931776,3.306648493369336
Dartford,8,2021-01-14,12,531,2.2598870056497176,1.297388320982552,3.908165280281553
Daventry,7,2020-11-23,5,598,0.8361204013377926,0.3576542855845929,1.9421970486548936
Daventry,8,2021-01-14,5,593,0.8431703204047217,0.3606743017463161,1.9584438855263342
Derby,7,2020-11-23,4,509,0.7858546168958742,0.30601566128237295,2.0029744987417755
Derby,8,2021-01-14,7,550,1.2727272727272727,0.6178474842326085,2.603554333299128
Derbyshire Dales,7,2020-11-23,5,623,0.8025682182985553,0.34328234267098745,1.864845187172795
Derbyshire Dales,8,2021-01-14,3,622,0.482315112540193,0.16416338760678262,1.4083528913944363
Doncaster,7,2020-11-23,1,535,0.1869158878504673,0.009587531661224407,1.0510745963562005
