ltla,phe_region,mid_week,Nt,nt,M,round,start_date,end_date,mid_date,m,l,u
Hyndburn,North West,2020-11-22,2785,251,81043,7,2020-11-13,2020-12-03,2020-11-23,9.012567324955116,8.004727485034934,10.133322536445927
Hyndburn,North West,2021-01-17,3350,555,81043,8,2021-01-06,2021-01-22,2021-01-14,16.567164179104477,15.346618081145852,17.864297595600306
Ipswich,East of England,2020-11-22,4986,225,136913,7,2020-11-13,2020-12-03,2020-11-23,4.512635379061372,3.970629874776823,5.124678314192285
Ipswich,East of England,2021-01-17,5516,630,136913,8,2021-01-06,2021-01-22,2021-01-14,11.421319796954315,10.608650630605199,12.287685582114792
Isle of Wight,South East,2020-11-22,4252,63,141771,7,2020-11-13,2020-12-03,2020-11-23,1.4816556914393226,1.159833478049079,1.8910663281827431
Isle of Wight,South East,2021-01-17,6581,820,141771,8,2021-01-06,2021-01-22,2021-01-14,12.460112444917186,11.684012214893693,13.280012645852102
Islington,London,2020-11-22,5003,304,242467,7,2020-11-13,2020-12-03,2020-11-23,6.0763541874875076,5.447475266623523,6.772633235969377
Islington,London,2021-01-17,6866,1180,242467,8,2021-01-06,2021-01-22,2021-01-14,17.186134576172442,16.312190911491236,18.096775772675603
Kensington and Chelsea,London,2020-11-22,3593,210,156129,7,2020-11-13,2020-12-03,2020-11-23,5.844698023935431,5.123768291750409,6.659944270316761
Kensington and Chelsea,London,2021-01-17,4724,635,156129,8,2021-01-06,2021-01-22,2021-01-14,13.441998306519897,12.498944521260722,14.444460199811276
King's Lynn and West Norfolk,East of England,2020-11-22,4187,151,151383,7,2020-11-13,2020-12-03,2020-11-23,3.6064007642703606,3.082834040366274,4.215019190921511
King's Lynn and West Norfolk,East of England,2021-01-17,5708,689,151383,8,2021-01-06,2021-01-22,2021-01-14,12.070777855641206,11.251023374847954,12.941550399880002
"Kingston upon Hull, City of",Yorkshire and The Humber,2020-11-22,9526,965,259778,7,2020-11-13,2020-12-03,2020-11-23,10.130170060885996,9.540240474284523,10.752242534766545
"Kingston upon Hull, City of",Yorkshire and The Humber,2021-01-17,8335,605,259778,8,2021-01-06,2021-01-22,2021-01-14,7.258548290341932,6.721015881791254,7.835460156456385
Kingston upon Thames,London,2020-11-22,4528,345,177507,7,2020-11-13,2020-12-03,2020-11-23,7.619257950530035,6.881919820935371,8.42844496400682
Kingston upon Thames,London,2021-01-17,5288,825,177507,8,2021-01-06,2021-01-22,2021-01-14,15.601361573373676,14.648340367726135,16.604324166733647
Kirklees,Yorkshire and The Humber,2020-11-22,11427,1440,439787,7,2020-11-13,2020-12-03,2020-11-23,12.601732738251508,12.00579018162546,13.222811485274189
Kirklees,Yorkshire and The Humber,2021-01-17,10228,1170,439787,8,2021-01-06,2021-01-22,2021-01-14,11.439186546734454,10.836771809753051,12.070555949905588
Knowsley,North West,2020-11-22,4973,233,150862,7,2020-11-13,2020-12-03,2020-11-23,4.685300623366177,4.132126073351772,5.308428999745274
Knowsley,North West,2021-01-17,7368,1540,150862,8,2021-01-06,2021-01-22,2021-01-14,20.901194353963085,19.988057265530973,21.84465815634993
Lambeth,London,2020-11-22,10296,480,326034,7,2020-11-13,2020-12-03,2020-11-23,4.662004662004662,4.27141518639547,5.086412918766952
Lambeth,London,2021-01-17,13474,2269,326034,8,2021-01-06,2021-01-22,2021-01-14,16.839839691257236,16.217442238312575,17.481139783872038
Lancaster,North West,2020-11-22,3958,212,146038,7,2020-11-13,2020-12-03,2020-11-23,5.356240525517938,4.697099796001222,6.101955725721952
Lancaster,North West,2021-01-17,5445,781,146038,8,2021-01-06,2021-01-22,2021-01-14,14.343434343434344,13.437547542303701,15.299597237085663
Leeds,Yorkshire and The Humber,2020-11-22,20463,1962,793139,7,2020-11-13,2020-12-03,2020-11-23,9.588036944729513,9.192183527182449,9.999060352453377
Leeds,Yorkshire and The Humber,2021-01-17,20648,2498,793139,8,2021-01-06,2021-01-22,2021-01-14,12.098024021697016,11.660258804576571,12.549889567859202
Leicester,East Midlands,2020-11-22,11226,1319,354224,7,2020-11-13,2020-12-03,2020-11-23,11.749510065918404,11.166885164671552,12.358304113451418
Leicester,East Midlands,2021-01-17,14147,2300,354224,8,2021-01-06,2021-01-22,2021-01-14,16.25786385806178,15.659014670135043,16.8750326670356
Lewes,South East,2020-11-22,3144,90,103268,7,2020-11-13,2020-12-03,2020-11-23,2.8625954198473282,2.3347606288425817,3.505478189587886
Lewes,South East,2021-01-17,4238,507,103268,8,2021-01-06,2021-01-22,2021-01-14,11.96319018404908,11.020407394129892,12.9748660903174
Lewisham,London,2020-11-22,6121,325,305842,7,2020-11-13,2020-12-03,2020-11-23,5.3095899362849215,4.775375874721145,5.899863039080682
Lewisham,London,2021-01-17,9865,1925,305842,8,2021-01-06,2021-01-22,2021-01-14,19.51343132285859,18.74332203496981,20.30727448035024
Lichfield,West Midlands,2020-11-22,3686,245,104756,7,2020-11-13,2020-12-03,2020-11-23,6.646771568095497,5.886902310798976,7.496910092309811
Lichfield,West Midlands,2021-01-17,3942,426,104756,8,2021-01-06,2021-01-22,2021-01-14,10.80669710806697,9.875398868920591,11.81430832667672
Lincoln,East Midlands,2020-11-22,3561,360,99299,7,2020-11-13,2020-12-03,2020-11-23,10.109519797809604,9.161994294439689,11.14301694328734
Lincoln,East Midlands,2021-01-17,3109,315,99299,8,2021-01-06,2021-01-22,2021-01-14,10.131875201029269,9.119906000643494,11.242244375650522
Liverpool,North West,2020-11-22,15488,620,498042,7,2020-11-13,2020-12-03,2020-11-23,4.003099173553719,3.7056036657988676,4.323406068950771
Liverpool,North West,2021-01-17,20304,3540,498042,8,2021-01-06,2021-01-22,2021-01-14,17.43498817966903,16.919286648068574,17.963009794834928
Luton,East of England,2020-11-22,7397,665,213052,7,2020-11-13,2020-12-03,2020-11-23,8.990131134243612,8.359389429509045,9.6634457608186
Luton,East of England,2021-01-17,8739,1582,213052,8,2021-01-06,2021-01-22,2021-01-14,18.102757752603274,17.30954849743741,18.92399724099806
Maidstone,South East,2020-11-22,6013,592,171826,7,2020-11-13,2020-12-03,2020-11-23,9.845335107267587,9.117746663008301,10.624197128435926
Maidstone,South East,2021-01-17,5817,757,171826,8,2021-01-06,2021-01-22,2021-01-14,13.013580883616985,12.173315932337536,13.902664139591955
Maldon,East of England,2020-11-22,1524,44,64926,7,2020-11-13,2020-12-03,2020-11-23,2.8871391076115485,2.157663358516003,3.8535270232127687
Maldon,East of England,2021-01-17,2558,305,64926,8,2021-01-06,2021-01-22,2021-01-14,11.923377638780297,10.724295720684744,13.236650680083828
Malvern Hills,West Midlands,2020-11-22,2351,68,78698,7,2020-11-13,2020-12-03,2020-11-23,2.89238621863037,2.2879886780078706,3.6504772979872513
Malvern Hills,West Midlands,2021-01-17,2955,250,78698,8,2021-01-06,2021-01-22,2021-01-14,8.460236886632826,7.509990029765716,9.51834575073637
Manchester,North West,2020-11-22,15423,1397,552858,7,2020-11-13,2020-12-03,2020-11-23,9.057900538157297,8.615077178410393,9.521113993898284
Manchester,North West,2021-01-17,17337,2521,552858,8,2021-01-06,2021-01-22,2021-01-14,14.541154755724751,14.02427532043836,15.073744350654625
Mansfield,East Midlands,2020-11-22,3593,241,109313,7,2020-11-13,2020-12-03,2020-11-23,6.707486779849709,5.934911445713566,7.57253569597914
Mansfield,East Midlands,2021-01-17,4034,631,109313,8,2021-01-06,2021-01-22,2021-01-14,15.642042637580566,14.553826771920395,16.795632381693828
Medway,South East,2020-11-22,9907,1484,278556,7,2020-11-13,2020-12-03,2020-11-23,14.979307560310891,14.290162062065756,15.695601217153508
Medway,South East,2021-01-17,8541,1440,278556,8,2021-01-06,2021-01-22,2021-01-14,16.859852476290833,16.080779748254646,17.66872248322039
Melton,East Midlands,2020-11-22,1581,106,51209,7,2020-11-13,2020-12-03,2020-11-23,6.7046173308032895,5.573772315255454,8.045347604872406
Melton,East Midlands,2021-01-17,1477,135,51209,8,2021-01-06,2021-01-22,2021-01-14,9.140148950575492,7.774556720085099,10.71773070133642
Mendip,South West,2020-11-22,3137,159,115587,7,2020-11-13,2020-12-03,2020-11-23,5.068536818616512,4.354390749612033,5.892591246783843
Mendip,South West,2021-01-17,4042,370,115587,8,2021-01-06,2021-01-22,2021-01-14,9.153884215734784,8.303234808262012,10.082099031228413
Merton,London,2020-11-22,4740,345,206548,7,2020-11-13,2020-12-03,2020-11-23,7.2784810126582276,6.573012983553146,8.053138940865955
Merton,London,2021-01-17,6929,1295,206548,8,2021-01-06,2021-01-22,2021-01-14,18.68956559388079,17.78912566416301,19.624703488392246
Mid Devon,South West,2020-11-22,2188,63,82311,7,2020-11-13,2020-12-03,2020-11-23,2.8793418647166362,2.256994914008915,3.6668577578241326
Mid Devon,South West,2021-01-17,2774,155,82311,8,2021-01-06,2021-01-22,2021-01-14,5.58759913482336,4.792686281286207,6.505347226858367
Mid Suffolk,East of England,2020-11-22,2552,45,103895,7,2020-11-13,2020-12-03,2020-11-23,1.763322884012539,1.3204471770523192,2.3511991411036606
Mid Suffolk,East of England,2021-01-17,3299,315,103895,8,2021-01-06,2021-01-22,2021-01-14,9.548347984237648,8.592041457003285,10.598751280805336
Mid Sussex,South East,2020-11-22,4575,169,151022,7,2020-11-13,2020-12-03,2020-11-23,3.6939890710382515,3.185141272798326,4.280534529585478
Mid Sussex,South East,2021-01-17,5788,555,151022,8,2021-01-06,2021-01-22,2021-01-14,9.588804422944023,8.85684764047552,10.374366935061033
Middlesbrough,North East,2020-11-22,4532,370,140980,7,2020-11-13,2020-12-03,2020-11-23,8.164165931156223,7.401951486741676,8.997242920156552
Middlesbrough,North East,2021-01-17,5622,780,140980,8,2021-01-06,2021-01-22,2021-01-14,13.874066168623267,12.995115384183226,14.802352252747152
Milton Keynes,South East,2020-11-22,6308,455,269457,7,2020-11-13,2020-12-03,2020-11-23,7.213062777425491,6.600348081104131,7.877858711362365
Milton Keynes,South East,2021-01-17,9688,1616,269457,8,2021-01-06,2021-01-22,2021-01-14,16.680429397192402,15.951316550771338,17.435955337335184
Mole Valley,South East,2020-11-22,2488,100,87245,7,2020-11-13,2020-12-03,2020-11-23,4.019292604501608,3.3157481539513345,4.864606101698844
Mole Valley,South East,2021-01-17,3202,328,87245,8,2021-01-06,2021-01-22,2021-01-14,10.243597751405371,9.24052653057864,11.341946660825666
New Forest,South East,2020-11-22,5536,112,180086,7,2020-11-13,2020-12-03,2020-11-23,2.023121387283237,1.6841576966336744,2.4286217125661764
New Forest,South East,2021-01-17,7323,587,180086,8,2021-01-06,2021-01-22,2021-01-14,8.015840502526288,7.415706146923327,8.659999400147102
Newark and Sherwood,East Midlands,2020-11-22,3373,258,122421,7,2020-11-13,2020-12-03,2020-11-23,7.648977171657279,6.7994337724039164,8.59487671448048
Newark and Sherwood,East Midlands,2021-01-17,3703,400,122421,8,2021-01-06,2021-01-22,2021-01-14,10.80205238995409,9.842592772911809,11.842754921360248
Newcastle-under-Lyme,West Midlands,2020-11-22,4575,449,129441,7,2020-11-13,2020-12-03,2020-11-23,9.814207650273223,8.985541014883838,10.710302724876666
Newcastle-under-Lyme,West Midlands,2021-01-17,3888,403,129441,8,2021-01-06,2021-01-22,2021-01-14,10.36522633744856,9.445918272374785,11.36277774953594
Newcastle upon Tyne,North East,2020-11-22,8831,755,302820,7,2020-11-13,2020-12-03,2020-11-23,8.549428150832297,7.9841164428542735,9.150785930626089
Newcastle upon Tyne,North East,2021-01-17,9757,925,302820,8,2021-01-06,2021-01-22,2021-01-14,9.480373065491442,8.914950728931062,10.07768906182603
Newham,London,2020-11-22,7601,885,353134,7,2020-11-13,2020-12-03,2020-11-23,11.64320484146823,10.94144598099496,12.383714292573309
