ltla,phe_region,mid_week,Nt,nt,M,round,start_date,end_date,mid_date,m,l,u
Nottingham,East Midlands,2020-11-22,8745,663,332900,7,2020-11-13,2020-12-03,2020-11-23,7.58147512864494,7.045124723059505,8.155075955853599
Nottingham,East Midlands,2021-01-17,10921,1535,332900,8,2021-01-06,2021-01-22,2021-01-14,14.055489424045417,13.416268608458157,14.719988291992156
Nuneaton and Bedworth,West Midlands,2020-11-22,4449,375,129883,7,2020-11-13,2020-12-03,2020-11-23,8.428860418071476,7.647930312587928,9.281517227642802
Nuneaton and Bedworth,West Midlands,2021-01-17,4413,576,129883,8,2021-01-06,2021-01-22,2021-01-14,13.052345343303875,12.090465918439431,14.078493723804694
Oadby and Wigston,East Midlands,2020-11-22,2420,225,57015,7,2020-11-13,2020-12-03,2020-11-23,9.297520661157025,8.204146886364605,10.519910216013205
Oadby and Wigston,East Midlands,2021-01-17,2428,215,57015,8,2021-01-06,2021-01-22,2021-01-14,8.85502471169687,7.789026112149531,10.051012647247342
Oldham,North West,2020-11-22,7389,814,237110,7,2020-11-13,2020-12-03,2020-11-23,11.016375693598594,10.322643077989643,11.750621551183203
Oldham,North West,2021-01-17,6194,725,237110,8,2021-01-06,2021-01-22,2021-01-14,11.704875686147885,10.927909952080793,12.529312509645854
Oxford,South East,2020-11-22,4473,240,152457,7,2020-11-13,2020-12-03,2020-11-23,5.365526492287056,4.742641242778258,6.065011055638168
Oxford,South East,2021-01-17,5473,802,152457,8,2021-01-06,2021-01-22,2021-01-14,14.653754796272612,13.741628255788013,15.615465078202783
Pendle,North West,2020-11-22,2794,315,92112,7,2020-11-13,2020-12-03,2020-11-23,11.274158911954189,10.154188821514865,12.500470784818294
Pendle,North West,2021-01-17,3310,595,92112,8,2021-01-06,2021-01-22,2021-01-14,17.97583081570997,16.70505945603008,19.320848049078798
Peterborough,East of England,2020-11-22,5658,460,202259,7,2020-11-13,2020-12-03,2020-11-23,8.130081300813007,7.446048341511504,8.870930251759127
Peterborough,East of England,2021-01-17,7976,1153,202259,8,2021-01-06,2021-01-22,2021-01-14,14.455867602808425,13.701231430205912,15.244725337737892
Plymouth,South West,2020-11-22,8565,285,262100,7,2020-11-13,2020-12-03,2020-11-23,3.327495621716287,2.9680936235460535,3.7287447014294486
Plymouth,South West,2021-01-17,10680,850,262100,8,2021-01-06,2021-01-22,2021-01-14,7.9588014981273405,7.460480169612765,8.487355310611292
Portsmouth,South East,2020-11-22,5660,345,214905,7,2020-11-13,2020-12-03,2020-11-23,6.095406360424029,5.501402500409157,6.748966156010888
Portsmouth,South East,2021-01-17,7383,1080,214905,8,2021-01-06,2021-01-22,2021-01-14,14.628199918732223,13.840502956552658,15.45268643817615
Preston,North West,2020-11-22,4451,360,143135,7,2020-11-13,2020-12-03,2020-11-23,8.088070096607504,7.322750253464607,8.925672176641646
Preston,North West,2021-01-17,5744,797,143135,8,2021-01-06,2021-01-22,2021-01-14,13.87534818941504,13.005486685823875,14.793496119601821
Reading,South East,2020-11-22,4588,255,161780,7,2020-11-13,2020-12-03,2020-11-23,5.55797733217088,4.931447119807129,6.258866470694363
Reading,South East,2021-01-17,6709,1096,161780,8,2021-01-06,2021-01-22,2021-01-14,16.336264719034133,15.47093716433566,17.240120772767145
Redbridge,London,2020-11-22,7966,1050,305222,7,2020-11-13,2020-12-03,2020-11-23,13.181019332161686,12.455868309587895,13.941663808096177
Redbridge,London,2021-01-17,11216,2495,305222,8,2021-01-06,2021-01-22,2021-01-14,22.24500713266762,21.484904241843793,23.024115579418382
Redcar and Cleveland,North East,2020-11-22,4147,330,137150,7,2020-11-13,2020-12-03,2020-11-23,7.957559681697612,7.172238392900984,8.820698591237642
Redcar and Cleveland,North East,2021-01-17,4986,650,137150,8,2021-01-06,2021-01-22,2021-01-14,13.036502206177298,12.13029559006865,13.999621955023972
Redditch,West Midlands,2020-11-22,2349,189,85261,7,2020-11-13,2020-12-03,2020-11-23,8.045977011494253,7.013269500959293,9.215680281831558
Redditch,West Midlands,2021-01-17,3478,625,85261,8,2021-01-06,2021-01-22,2021-01-14,17.9700977573318,16.729668179438118,19.281203471374276
Reigate and Banstead,South East,2020-11-22,4263,177,148748,7,2020-11-13,2020-12-03,2020-11-23,4.1520056298381425,3.5932907546676836,4.793274864754169
Reigate and Banstead,South East,2021-01-17,6175,876,148748,8,2021-01-06,2021-01-22,2021-01-14,14.186234817813764,13.338241087621022,15.07876023087239
Ribble Valley,North West,2020-11-22,1752,131,60888,7,2020-11-13,2020-12-03,2020-11-23,7.4771689497716896,6.33642407792124,8.803978119851546
Ribble Valley,North West,2021-01-17,2070,282,60888,8,2021-01-06,2021-01-22,2021-01-14,13.623188405797102,12.212653317107899,15.168487917458872
Richmond upon Thames,London,2020-11-22,4180,210,198019,7,2020-11-13,2020-12-03,2020-11-23,5.023923444976076,4.402036969321397,5.7284008828854365
Richmond upon Thames,London,2021-01-17,5201,700,198019,8,2021-01-06,2021-01-22,2021-01-14,13.458950201884253,12.55835384782909,14.413485158747969
Richmondshire,Yorkshire and The Humber,2020-11-22,1391,83,53730,7,2020-11-13,2020-12-03,2020-11-23,5.966930265995686,4.839211415058014,7.337187396910988
Richmondshire,Yorkshire and The Humber,2021-01-17,1379,155,53730,8,2021-01-06,2021-01-22,2021-01-14,11.240029006526468,9.679453939533383,13.015950281883462
Rochdale,North West,2020-11-22,6704,780,222412,7,2020-11-13,2020-12-03,2020-11-23,11.634844868735083,10.889179642551722,12.424452148257375
Rochdale,North West,2021-01-17,6470,785,222412,8,2021-01-06,2021-01-22,2021-01-14,12.13292117465224,11.359715126509375,12.95106648332314
Rochford,East of England,2020-11-22,2111,116,87368,7,2020-11-13,2020-12-03,2020-11-23,5.495026054002842,4.601279167628782,6.550453168477735
Rochford,East of England,2021-01-17,2916,400,87368,8,2021-01-06,2021-01-22,2021-01-14,13.717421124828533,12.516382136752169,15.013929702348875
Rossendale,North West,2020-11-22,2254,226,71482,7,2020-11-13,2020-12-03,2020-11-23,10.02661934338953,8.853865862089927,11.33539308874833
Rossendale,North West,2021-01-17,2433,353,71482,8,2021-01-06,2021-01-22,2021-01-14,14.508836826962598,13.16533114816712,15.964239684242346
Rother,South East,2020-11-22,3455,139,96080,7,2020-11-13,2020-12-03,2020-11-23,4.0231548480463095,3.417368491918678,4.7310668201984925
Rother,South East,2021-01-17,3771,390,96080,8,2021-01-06,2021-01-22,2021-01-14,10.342084327764518,9.41020638103569,11.35467784977319
Rotherham,Yorkshire and The Humber,2020-11-22,7471,649,265411,7,2020-11-13,2020-12-03,2020-11-23,8.686922768036407,8.06932248099779,9.346986159026336
Rotherham,Yorkshire and The Humber,2021-01-17,7702,840,265411,8,2021-01-06,2021-01-22,2021-01-14,10.906258114775383,10.2294895730654,11.622004099870743
Rugby,West Midlands,2020-11-22,3485,215,108935,7,2020-11-13,2020-12-03,2020-11-23,6.169296987087518,5.41774210149635,7.017373220921945
Rugby,West Midlands,2021-01-17,3676,425,108935,8,2021-01-06,2021-01-22,2021-01-14,11.561479869423286,10.567683340104676,12.635529851974825
Runnymede,South East,2020-11-22,2731,176,89424,7,2020-11-13,2020-12-03,2020-11-23,6.444525814719883,5.583410755594735,7.428000113324096
Runnymede,South East,2021-01-17,3172,382,89424,8,2021-01-06,2021-01-22,2021-01-14,12.042875157629256,10.955927613087123,13.221647646158397
Rushcliffe,East Midlands,2020-11-22,2860,161,119184,7,2020-11-13,2020-12-03,2020-11-23,5.629370629370629,4.842637812554262,6.535137930481209
Rushcliffe,East Midlands,2021-01-17,3673,388,119184,8,2021-01-06,2021-01-22,2021-01-14,10.563572011979309,9.610407756037553,11.599140372557025
Rushmoor,South East,2020-11-22,3277,94,94599,7,2020-11-13,2020-12-03,2020-11-23,2.8684772657918827,2.3498380841819535,3.497486793553893
Rushmoor,South East,2021-01-17,5199,840,94599,8,2021-01-06,2021-01-22,2021-01-14,16.156953260242354,15.18153423924444,17.18234753858631
Rutland,East Midlands,2020-11-22,1117,39,39927,7,2020-11-13,2020-12-03,2020-11-23,3.491495076096687,2.5644926708886375,4.7372945869457155
Rutland,East Midlands,2021-01-17,1205,86,39927,8,2021-01-06,2021-01-22,2021-01-14,7.136929460580912,5.815516962392987,8.730762662417304
Ryedale,Yorkshire and The Humber,2020-11-22,1353,69,55380,7,2020-11-13,2020-12-03,2020-11-23,5.099778270509978,4.049458836483198,6.404338687066559
Ryedale,Yorkshire and The Humber,2021-01-17,1737,135,55380,8,2021-01-06,2021-01-22,2021-01-14,7.772020725388601,6.6040862262749105,9.126321470138969
Salford,North West,2020-11-22,6161,554,258834,7,2020-11-13,2020-12-03,2020-11-23,8.992046745658172,8.303047572469453,9.732151973982212
Salford,North West,2021-01-17,7810,1045,258834,8,2021-01-06,2021-01-22,2021-01-14,13.380281690140844,12.643226802940957,14.153342718661637
Sandwell,West Midlands,2020-11-22,10247,1285,328450,7,2020-11-13,2020-12-03,2020-11-23,12.540255684590612,11.913040107438874,13.195547018410606
Sandwell,West Midlands,2021-01-17,14059,3282,328450,8,2021-01-06,2021-01-22,2021-01-14,23.34447684757095,22.652562227203184,24.050954114447105
Scarborough,Yorkshire and The Humber,2020-11-22,3621,249,108757,7,2020-11-13,2020-12-03,2020-11-23,6.876553438276719,6.097193456080103,7.747314352654882
Scarborough,Yorkshire and The Humber,2021-01-17,3502,195,108757,8,2021-01-06,2021-01-22,2021-01-14,5.568246716162193,4.856322528851944,6.377541393596384
Sedgemoor,South West,2020-11-22,3925,142,123178,7,2020-11-13,2020-12-03,2020-11-23,3.6178343949044587,3.0775263943323417,4.24884352508646
Sedgemoor,South West,2021-01-17,4975,410,123178,8,2021-01-06,2021-01-22,2021-01-14,8.241206030150753,7.508904727484504,9.03794589297755
Sefton,North West,2020-11-22,11115,430,276410,7,2020-11-13,2020-12-03,2020-11-23,3.8686459739091315,3.5257783313237203,4.243389544843805
Sefton,North West,2021-01-17,13306,1955,276410,8,2021-01-06,2021-01-22,2021-01-14,14.692619870735008,14.101266907723446,15.304353519309622
Selby,Yorkshire and The Humber,2020-11-22,2532,168,90620,7,2020-11-13,2020-12-03,2020-11-23,6.6350710900473935,5.7298106051382405,7.671715647166947
Selby,Yorkshire and The Humber,2021-01-17,2732,280,90620,8,2021-01-06,2021-01-22,2021-01-14,10.248901903367496,9.166869163411198,11.442565531819367
Sevenoaks,South East,2020-11-22,2807,174,120750,7,2020-11-13,2020-12-03,2020-11-23,6.19878874242964,5.365211738514859,7.152088293352159
Sevenoaks,South East,2021-01-17,3267,493,120750,8,2021-01-06,2021-01-22,2021-01-14,15.090296908478726,13.90389057168605,16.35870305391825
Sheffield,Yorkshire and The Humber,2020-11-22,15792,1353,584853,7,2020-11-13,2020-12-03,2020-11-23,8.567629179331307,8.14111636281853,9.014294229805948
Sheffield,Yorkshire and The Humber,2021-01-17,14744,1625,584853,8,2021-01-06,2021-01-22,2021-01-14,11.021432447097123,10.526071415249733,11.537099442032359
Shropshire,West Midlands,2020-11-22,9741,505,323136,7,2020-11-13,2020-12-03,2020-11-23,5.184272661944359,4.761390147936146,5.642488284616493
Shropshire,West Midlands,2021-01-17,13620,1435,323136,8,2021-01-06,2021-01-22,2021-01-14,10.535976505139502,10.031446855193444,11.062761173482922
Slough,South East,2020-11-22,4734,528,149539,7,2020-11-13,2020-12-03,2020-11-23,11.153358681875792,10.287945140852402,12.08176621467492
Slough,South East,2021-01-17,6522,1545,149539,8,2021-01-06,2021-01-22,2021-01-14,23.689052437902482,22.67285801421654,24.736222919536218
Solihull,West Midlands,2020-11-22,6406,505,216374,7,2020-11-13,2020-12-03,2020-11-23,7.883234467686544,7.248293339806461,8.568657287350302
Solihull,West Midlands,2021-01-17,8059,1225,216374,8,2021-01-06,2021-01-22,2021-01-14,15.20039707159697,14.433140305984713,16.00081367107393
Somerset West and Taunton,South West,2020-11-22,6244,110,155115,7,2020-11-13,2020-12-03,2020-11-23,1.7616912235746316,1.4638014264573638,2.1188992597880447
Somerset West and Taunton,South West,2021-01-17,7824,625,155115,8,2021-01-06,2021-01-22,2021-01-14,7.988241308793456,7.407919723500449,8.60979685158195
South Cambridgeshire,East of England,2020-11-22,4558,94,159086,7,2020-11-13,2020-12-03,2020-11-23,2.062308029837648,1.688294239366533,2.517057054676204
South Cambridgeshire,East of England,2021-01-17,6217,530,159086,8,2021-01-06,2021-01-22,2021-01-14,8.525012063696316,7.856210547795679,9.245036379374366
South Derbyshire,East Midlands,2020-11-22,3197,237,107261,7,2020-11-13,2020-12-03,2020-11-23,7.413199874882702,6.555274318999324,8.373345700710997
South Derbyshire,East Midlands,2021-01-17,3664,455,107261,8,2021-01-06,2021-01-22,2021-01-14,12.418122270742359,11.389478673404323,13.525487501674514
South Gloucestershire,South West,2020-11-22,8294,605,285093,7,2020-11-13,2020-12-03,2020-11-23,7.294429708222812,6.754332869021498,7.874067358249266
South Gloucestershire,South West,2021-01-17,10164,1040,285093,8,2021-01-06,2021-01-22,2021-01-14,10.232192050373868,9.657939414671125,10.836493619716354
South Hams,South West,2020-11-22,2372,44,87004,7,2020-11-13,2020-12-03,2020-11-23,1.854974704890388,1.384710086724151,2.4809291157452695
South Hams,South West,2021-01-17,2724,135,87004,8,2021-01-06,2021-01-22,2021-01-14,4.955947136563877,4.202463724013927,5.83629633424407
South Holland,East Midlands,2020-11-22,2712,157,95019,7,2020-11-13,2020-12-03,2020-11-23,5.789085545722713,4.971079522369185,6.73216102535819
South Holland,East Midlands,2021-01-17,3168,311,95019,8,2021-01-06,2021-01-22,2021-01-14,9.816919191919192,8.828960590337287,10.902210306627563
South Kesteven,East Midlands,2020-11-22,3917,252,142424,7,2020-11-13,2020-12-03,2020-11-23,6.43349502170028,5.7070278973975785,7.245331032551149
South Kesteven,East Midlands,2021-01-17,4701,479,142424,8,2021-01-06,2021-01-22,2021-01-14,10.189321420974261,9.356820578692783,11.086832352851214
South Lakeland,North West,2020-11-22,2772,152,105088,7,2020-11-13,2020-12-03,2020-11-23,5.483405483405483,4.695877992973394,6.394145100473718
South Lakeland,North West,2021-01-17,3257,301,105088,8,2021-01-06,2021-01-22,2021-01-14,9.241633404973902,8.294456763087181,10.28484144786604
South Norfolk,East of England,2020-11-22,3711,196,140880,7,2020-11-13,2020-12-03,2020-11-23,5.281595257343034,4.607106448110778,6.048569257262586
South Norfolk,East of England,2021-01-17,4476,515,140880,8,2021-01-06,2021-01-22,2021-01-14,11.505808757819482,10.603834850512873,12.473800113221984
South Oxfordshire,South East,2020-11-22,3331,95,142057,7,2020-11-13,2020-12-03,2020-11-23,2.851996397478235,2.338762911359789,3.4738510079010876
South Oxfordshire,South East,2021-01-17,4485,413,142057,8,2021-01-06,2021-01-22,2021-01-14,9.208472686733556,8.396803289706675,10.08995919530008
South Ribble,North West,2020-11-22,3100,279,110788,7,2020-11-13,2020-12-03,2020-11-23,9,8.042672348718053,10.058814672277085
South Ribble,North West,2021-01-17,4099,550,110788,8,2021-01-06,2021-01-22,2021-01-14,13.417906806538179,12.40864927627169,14.495667400346335
South Somerset,South West,2020-11-22,5015,190,168345,7,2020-11-13,2020-12-03,2020-11-23,3.788634097706879,3.294618660439186,4.353390585720336
South Somerset,South West,2021-01-17,6486,450,168345,8,2021-01-06,2021-01-22,2021-01-14,6.938020351526363,6.34477579382674,7.582243295248759
South Staffordshire,West Midlands,2020-11-22,4057,315,112436,7,2020-11-13,2020-12-03,2020-11-23,7.764357899926054,6.980262305190261,8.628361307630309
South Staffordshire,West Midlands,2021-01-17,4075,677,112436,8,2021-01-06,2021-01-22,2021-01-14,16.613496932515336,15.502265786225792,17.787614993138543
South Tyneside,North East,2020-11-22,4350,455,150976,7,2020-11-13,2020-12-03,2020-11-23,10.459770114942529,9.58495001647342,11.404364074633204
South Tyneside,North East,2021-01-17,4576,495,150976,8,2021-01-06,2021-01-22,2021-01-14,10.817307692307693,9.950028291654347,11.750318057815306
Southampton,South East,2020-11-22,13071,270,252520,7,2020-11-13,2020-12-03,2020-11-23,2.065641496442506,1.835523374428508,2.323926363708101
Southampton,South East,2021-01-17,13738,1268,252520,8,2021-01-06,2021-01-22,2021-01-14,9.229873344009318,8.757192392877199,9.725348440035745
Southend-on-Sea,East of England,2020-11-22,5736,250,183125,7,2020-11-13,2020-12-03,2020-11-23,4.358437935843794,3.8599155435142327,4.918052671033165
Southend-on-Sea,East of England,2021-01-17,8379,1100,183125,8,2021-01-06,2021-01-22,2021-01-14,13.128058240840195,12.421833747438935,13.868076059953893
Southwark,London,2020-11-22,6756,382,318830,7,2020-11-13,2020-12-03,2020-11-23,5.654233274126702,5.128268034541915,6.230599824981079
Southwark,London,2021-01-17,10517,1910,318830,8,2021-01-06,2021-01-22,2021-01-14,18.161072549206047,17.435935141542974,18.90946055506053
Spelthorne,South East,2020-11-22,3159,192,99844,7,2020-11-13,2020-12-03,2020-11-23,6.077872744539412,5.296848913400323,6.965588640624462
Spelthorne,South East,2021-01-17,3933,632,99844,8,2021-01-06,2021-01-22,2021-01-14,16.069158403254512,14.954609705885275,17.24992461642102
St Albans,East of England,2020-11-22,3979,190,148452,7,2020-11-13,2020-12-03,2020-11-23,4.775069112842423,4.155011636800972,5.482365667550686
St Albans,East of England,2021-01-17,4711,570,148452,8,2021-01-06,2021-01-22,2021-01-14,12.099341965612396,11.198834565228731,13.061609159358326
St. Helens,North West,2020-11-22,5510,305,180585,7,2020-11-13,2020-12-03,2020-11-23,5.535390199637023,4.962001189137039,6.170735640622717
St. Helens,North West,2021-01-17,7485,1430,180585,8,2021-01-06,2021-01-22,2021-01-14,19.10487641950568,18.230206021286595,20.011242600215912
Stafford,West Midlands,2020-11-22,5285,432,137280,7,2020-11-13,2020-12-03,2020-11-23,8.174077578051088,7.465469543912895,8.943444687639914
Stafford,West Midlands,2021-01-17,5023,548,137280,8,2021-01-06,2021-01-22,2021-01-14,10.909814851682262,10.07733462375548,11.802039687737507
Staffordshire Moorlands,West Midlands,2020-11-22,4022,224,98435,7,2020-11-13,2020-12-03,2020-11-23,5.56936847339632,4.9020956725743785,6.321432711304251
Staffordshire Moorlands,West Midlands,2021-01-17,2823,248,98435,8,2021-01-06,2021-01-22,2021-01-14,8.784980517180305,7.795966183297219,9.886010896139656
Stevenage,East of England,2020-11-22,2699,95,87845,7,2020-11-13,2020-12-03,2020-11-23,3.5198221563542056,2.888017306956785,4.283748472648772
Stevenage,East of England,2021-01-17,3617,623,87845,8,2021-01-06,2021-01-22,2021-01-14,17.224218965993916,16.02861460830325,18.48936893322875
Stockport,North West,2020-11-22,7634,605,293423,7,2020-11-13,2020-12-03,2020-11-23,7.92507204610951,7.340056080192578,8.552411253217025
Stockport,North West,2021-01-17,8802,1045,293423,8,2021-01-06,2021-01-22,2021-01-14,11.872301749602363,11.213134995475789,12.564734145278736
Stockton-on-Tees,North East,2020-11-22,4838,575,197348,7,2020-11-13,2020-12-03,2020-11-23,11.885076477883423,11.003290039205128,12.827342761021468
Stockton-on-Tees,North East,2021-01-17,5615,795,197348,8,2021-01-06,2021-01-22,2021-01-14,14.158504007123776,13.271125423649963,15.094890426799326
Stoke-on-Trent,West Midlands,2020-11-22,10265,1060,256375,7,2020-11-13,2020-12-03,2020-11-23,10.326351680467608,9.752442667618014,10.929943630169884
Stoke-on-Trent,West Midlands,2021-01-17,8574,1035,256375,8,2021-01-06,2021-01-22,2021-01-14,12.071378586424073,11.398705349479814,12.778023362242166
Stratford-on-Avon,West Midlands,2020-11-22,3741,135,130098,7,2020-11-13,2020-12-03,2020-11-23,3.608660785886127,3.057013935901396,4.255484118607187
Stratford-on-Avon,West Midlands,2021-01-17,3978,354,130098,8,2021-01-06,2021-01-22,2021-01-14,8.89894419306184,8.05333150830991,9.823860895817628
Stroud,South West,2020-11-22,3486,144,119964,7,2020-11-13,2020-12-03,2020-11-23,4.130808950086059,3.519131137049944,4.843468203474675
Stroud,South West,2021-01-17,3865,190,119964,8,2021-01-06,2021-01-22,2021-01-14,4.915912031047866,4.277946767179755,5.6434072843170275
Sunderland,North East,2020-11-22,7734,695,277705,7,2020-11-13,2020-12-03,2020-11-23,8.986294284975434,8.369121360166018,9.64418979693704
Sunderland,North East,2021-01-17,9590,1145,277705,8,2021-01-06,2021-01-22,2021-01-14,11.939520333680917,11.305743870664822,12.603776300858428
Surrey Heath,South East,2020-11-22,2759,147,89305,7,2020-11-13,2020-12-03,2020-11-23,5.3280173976078284,4.550370003039314,6.229888772570138
Surrey Heath,South East,2021-01-17,3478,468,89305,8,2021-01-06,2021-01-22,2021-01-14,13.456009200690053,12.362114233317667,14.630540944584085
Sutton,London,2020-11-22,5447,320,206349,7,2020-11-13,2020-12-03,2020-11-23,5.874793464292271,5.280856353542852,6.5309247023675745
Sutton,London,2021-01-17,8182,1315,206349,8,2021-01-06,2021-01-22,2021-01-14,16.07186506966512,15.29201188433977,16.88356190450493
Swale,South East,2020-11-22,6170,951,150082,7,2020-11-13,2020-12-03,2020-11-23,15.413290113452188,14.533876380493563,16.335744608846543
Swale,South East,2021-01-17,4509,655,150082,8,2021-01-06,2021-01-22,2021-01-14,14.526502550454644,13.528193200621686,15.585203997338603
Swindon,South West,2020-11-22,4888,355,222193,7,2020-11-13,2020-12-03,2020-11-23,7.2626841243862525,6.56821415637871,8.024275498688406
Swindon,South West,2021-01-17,6830,675,222193,8,2021-01-06,2021-01-22,2021-01-14,9.882869692532942,9.197505123676187,10.613335777135763
Tameside,North West,2020-11-22,6450,485,226493,7,2020-11-13,2020-12-03,2020-11-23,7.519379844961241,6.9008066145840115,8.188523748338222
Tameside,North West,2021-01-17,7110,800,226493,8,2021-01-06,2021-01-22,2021-01-14,11.251758087201125,10.538062796917544,12.00730130916661
Tamworth,West Midlands,2020-11-22,2277,223,76696,7,2020-11-13,2020-12-03,2020-11-23,9.793588054457619,8.63962235874695,11.082987342204557
Tamworth,West Midlands,2021-01-17,2568,373,76696,8,2021-01-06,2021-01-22,2021-01-14,14.524922118380063,13.21511281615807,15.940706888394422
Tandridge,South East,2020-11-22,2512,92,88129,7,2020-11-13,2020-12-03,2020-11-23,3.662420382165605,2.9957842562628243,4.47056296375418
Tandridge,South East,2021-01-17,3458,437,88129,8,2021-01-06,2021-01-22,2021-01-14,12.637362637362637,11.571204240776103,13.786440505894019
Teignbridge,South West,2020-11-22,4177,79,134163,7,2020-11-13,2020-12-03,2020-11-23,1.8913095523102705,1.5202475501323411,2.3507784242978245
Teignbridge,South West,2021-01-17,4891,280,134163,8,2021-01-06,2021-01-22,2021-01-14,5.724800654262932,5.107805597706453,6.411289832945953
Telford and Wrekin,West Midlands,2020-11-22,7851,465,179854,7,2020-11-13,2020-12-03,2020-11-23,5.922812380588461,5.421905658166082,6.466831545715037
Telford and Wrekin,West Midlands,2021-01-17,8000,945,179854,8,2021-01-06,2021-01-22,2021-01-14,11.8125,11.123502970380414,12.5381533550778
Tendring,East of England,2020-11-22,4714,122,146561,7,2020-11-13,2020-12-03,2020-11-23,2.588035638523547,2.171926183890109,3.081354601061202
Tendring,East of England,2021-01-17,8242,1165,146561,8,2021-01-06,2021-01-22,2021-01-14,14.1349187090512,13.3994973386864,14.903756737635316
Test Valley,South East,2020-11-22,3789,99,126160,7,2020-11-13,2020-12-03,2020-11-23,2.6128266033254155,2.1508987092451983,3.1707436797686728
Test Valley,South East,2021-01-17,4880,485,126160,8,2021-01-06,2021-01-22,2021-01-14,9.938524590163935,9.13037482380154,10.80969626638181
Tewkesbury,South West,2020-11-22,2651,123,95019,7,2020-11-13,2020-12-03,2020-11-23,4.639758581667295,3.902576436038903,5.50820995915609
Tewkesbury,South West,2021-01-17,3060,230,95019,8,2021-01-06,2021-01-22,2021-01-14,7.516339869281046,6.634509637470918,8.504702526569439
Thanet,South East,2020-11-22,6592,739,141922,7,2020-11-13,2020-12-03,2020-11-23,11.210558252427184,10.471424207771854,11.99487471818263
Thanet,South East,2021-01-17,5038,710,141922,8,2021-01-06,2021-01-22,2021-01-14,14.09289400555776,13.159427276836622,15.08107711922458
Three Rivers,East of England,2020-11-22,2645,142,93323,7,2020-11-13,2020-12-03,2020-11-23,5.368620037807183,4.572550227862022,6.2941423732438855
Three Rivers,East of England,2021-01-17,3329,443,93323,8,2021-01-06,2021-01-22,2021-01-14,13.307299489336136,12.195689868425461,14.503493690565644
Thurrock,East of England,2020-11-22,4769,405,174341,7,2020-11-13,2020-12-03,2020-11-23,8.492346403858251,7.7341842528395865,9.317324074901594
Thurrock,East of England,2021-01-17,8848,1205,174341,8,2021-01-06,2021-01-22,2021-01-14,13.61889692585895,12.919995484040045,14.349375189282917
Tonbridge and Malling,South East,2020-11-22,3497,297,132153,7,2020-11-13,2020-12-03,2020-11-23,8.49299399485273,7.613954088139159,9.463124832826459
Tonbridge and Malling,South East,2021-01-17,3484,530,132153,8,2021-01-06,2021-01-22,2021-01-14,15.212399540757747,14.058212327510903,16.443215887646534
Torbay,South West,2020-11-22,5550,143,136264,7,2020-11-13,2020-12-03,2020-11-23,2.5765765765765765,2.19140728474185,3.0273491556380527
Torbay,South West,2021-01-17,6177,310,136264,8,2021-01-06,2021-01-22,2021-01-14,5.0186174518374616,4.50155983182697,5.59158788886741
Torridge,South West,2020-11-22,2339,70,68267,7,2020-11-13,2020-12-03,2020-11-23,2.992731936725096,2.375573760289853,3.764041802647085
Torridge,South West,2021-01-17,2582,40,68267,8,2021-01-06,2021-01-22,2021-01-14,1.549186676994578,1.139750895987687,2.1025769944055273
Tower Hamlets,London,2020-11-22,7848,850,324745,7,2020-11-13,2020-12-03,2020-11-23,10.830784913353721,10.16229655771474,11.53759980107652
Tower Hamlets,London,2021-01-17,10563,2245,324745,8,2021-01-06,2021-01-22,2021-01-14,21.253431790211113,20.48379209137061,22.043972485521476
Trafford,North West,2020-11-22,5462,395,237354,7,2020-11-13,2020-12-03,2020-11-23,7.231783229586232,6.574523469440452,7.949159019366545
Trafford,North West,2021-01-17,6594,845,237354,8,2021-01-06,2021-01-22,2021-01-14,12.81468001213224,12.02950579820254,13.643155016588437
Tunbridge Wells,South East,2020-11-22,3531,116,118724,7,2020-11-13,2020-12-03,2020-11-23,3.285188331917304,2.7461555389434693,3.925754971560058
Tunbridge Wells,South East,2021-01-17,3616,402,118724,8,2021-01-06,2021-01-22,2021-01-14,11.117256637168142,10.133663177561447,12.183376615774707
Uttlesford,East of England,2020-11-22,2369,81,91284,7,2020-11-13,2020-12-03,2020-11-23,3.4191642043056145,2.7595252670165493,4.229625154483486
Uttlesford,East of England,2021-01-17,4292,390,91284,8,2021-01-06,2021-01-22,2021-01-14,9.086672879776328,8.262991634383708,9.983525755386918
Vale of White Horse,South East,2020-11-22,3136,99,136007,7,2020-11-13,2020-12-03,2020-11-23,3.1568877551020407,2.599932008362216,3.8284645036229628
Vale of White Horse,South East,2021-01-17,4322,413,136007,8,2021-01-06,2021-01-22,2021-01-14,9.55576122165664,8.714876740639838,10.46847675763942
Wakefield,Yorkshire and The Humber,2020-11-22,9853,1026,348312,7,2020-11-13,2020-12-03,2020-11-23,10.41307216076322,9.825339414363857,11.031660948373661
Wakefield,Yorkshire and The Humber,2021-01-17,9086,950,348312,8,2021-01-06,2021-01-22,2021-01-14,10.455646048866388,9.843115898052364,11.10159988654721
Walsall,West Midlands,2020-11-22,8737,931,285478,7,2020-11-13,2020-12-03,2020-11-23,10.655831521117088,10.026049525638564,11.32019577134949
Walsall,West Midlands,2021-01-17,11850,2470,285478,8,2021-01-06,2021-01-22,2021-01-14,20.843881856540083,20.122046001163334,21.584614881683866
Waltham Forest,London,2020-11-22,6329,670,276983,7,2020-11-13,2020-12-03,2020-11-23,10.586190551429926,9.85198036223577,11.368217041394562
