phe_region,mid_week,delta_prior_mean,delta_prior_sd
East Midlands,2020-05-31,2.747675017497651,0.3551606021955611
East Midlands,2020-06-07,2.7333214289560157,0.3319230936636332
East Midlands,2020-06-14,2.76065709987674,0.314122280268846
East Midlands,2020-06-21,2.8258983853508193,0.30082867944943126
East Midlands,2020-06-28,2.8517261880820626,0.28850197694894153
East Midlands,2020-07-05,2.8116352352796685,0.2778056362464835
East Midlands,2020-07-12,2.746766325856044,0.26706580306880834
East Midlands,2020-07-19,2.751657690826154,0.2579632820148638
East Midlands,2020-07-26,2.8280321575833893,0.24975317611832631
East Midlands,2020-08-02,2.850027815266095,0.24188654737665738
East Midlands,2020-08-09,2.8019902761509132,0.23642741452283875
East Midlands,2020-08-16,2.7274698668304413,0.22883196496728656
East Midlands,2020-08-23,2.733411070736047,0.2188285948593962
East Midlands,2020-08-30,2.661749953656952,0.20880960070823892
East Midlands,2020-09-06,2.530086459999732,0.1947539074926694
East Midlands,2020-09-13,2.3760188481754967,0.17168302299251653
East Midlands,2020-09-20,2.2780936696930003,0.13184459358842754
East Midlands,2020-09-27,2.485331855031895,0.1349404013053189
East Midlands,2020-10-04,2.559793570707151,0.1354191910990703
East Midlands,2020-10-11,2.5768261486803588,0.1360655154831454
East Midlands,2020-10-18,2.596024670985257,0.09347492636902453
East Midlands,2020-10-25,2.6327727235840337,0.08989615609673268
East Midlands,2020-11-01,2.7289688729639225,0.1268090253058206
East Midlands,2020-11-08,2.716881408579665,0.13547472626692114
East Midlands,2020-11-15,2.710528856458272,0.10378383928552116
East Midlands,2020-11-22,2.591641924788854,0.09341018027961165
East Midlands,2020-11-29,2.521565966083896,0.11712330594236396
East Midlands,2020-12-06,2.6136478457513217,0.15874128053378617
East Midlands,2020-12-13,2.715297367967797,0.17593113217766415
East Midlands,2020-12-20,2.8359918076758657,0.1791705724877615
East Midlands,2020-12-27,2.971733382376435,0.16858487330370187
East Midlands,2021-01-03,3.112124370896441,0.14002458656907354
East Midlands,2021-01-10,3.2119667118366313,0.11831715249114694
East Midlands,2021-01-17,3.0662790590648683,0.122454663822725
East Midlands,2021-01-24,3.1104655427516956,0.15790731509553416
East Midlands,2021-01-31,3.1608772288475886,0.17042984451823634
East Midlands,2021-02-07,3.230714723471998,0.16593463918736942
East Midlands,2021-02-14,3.2117401626948205,0.16058735282647138
East Midlands,2021-02-21,3.1451644998408264,0.1902538691829552
East Midlands,2021-02-28,3.027295076898,0.21082750485341753
East Midlands,2021-03-07,2.9333095011571704,0.2236290457063681
East Midlands,2021-03-14,2.871031126498621,0.2314469967756623
East Midlands,2021-03-21,2.771309058111906,0.2402235268710244
East Midlands,2021-03-28,2.6237604761551268,0.24715398697369564
East Midlands,2021-04-04,2.459995792553351,0.25311324683120323
East Midlands,2021-04-11,2.3420344762811536,0.25881360183673424
East Midlands,2021-04-18,2.2773204259141964,0.2650421821351222
East Midlands,2021-04-25,2.178510293048359,0.27216014334502203
East Midlands,2021-05-02,2.0361409212584287,0.2828664407469347
East Midlands,2021-05-09,1.8704466823781885,0.2955538967862488
East Midlands,2021-05-16,1.7593599902195036,0.3118729795280941
East Midlands,2021-05-23,1.7089295435680034,0.3330098262477579
East of England,2020-05-31,2.2076918754301076,0.3451488733185381
East of England,2020-06-07,2.1905999638225815,0.321051034798526
East of England,2020-06-14,2.2166782638376414,0.3021693352007674
East of England,2020-06-21,2.2876039173098266,0.2875302386347907
East of England,2020-06-28,2.311177069766441,0.2757301762768149
East of England,2020-07-05,2.268544590863974,0.26692191232562257
East of England,2020-07-12,2.2048550199548664,0.2586452220412499
East of England,2020-07-19,2.2128698089777243,0.25148465575494544
East of England,2020-07-26,2.2957431198629283,0.24474707128677708
East of England,2020-08-02,2.3007447533192624,0.24099038343243417
East of England,2020-08-09,2.247159220225529,0.23816259129867404
East of England,2020-08-16,2.1772922505457943,0.23269213016670162
East of England,2020-08-23,2.1948339048546357,0.22550064239485776
East of England,2020-08-30,2.1638326082682684,0.2155479693155905
East of England,2020-09-06,2.07861894186833,0.20151433483237316
East of England,2020-09-13,1.9786863206945249,0.18017575318806314
East of England,2020-09-20,1.9441221242726214,0.14565515200003468
East of England,2020-09-27,2.1011111819185424,0.14380145629427335
East of England,2020-10-04,2.194085304056329,0.15067305959215355
East of England,2020-10-11,2.2630924017034144,0.14804305745010063
East of England,2020-10-18,2.356945980735256,0.11528512870585077
East of England,2020-10-25,2.325122512647383,0.10016339275138156
East of England,2020-11-01,2.445751339400218,0.1257293645602563
East of England,2020-11-08,2.59859575576595,0.14579338594321753
East of England,2020-11-15,2.7716846110472053,0.13493266452732036
East of England,2020-11-22,2.8445138448795233,0.13585622892109003
East of England,2020-11-29,2.8349455335078964,0.1493518300580172
East of England,2020-12-06,2.846537838875776,0.17495602301811852
East of England,2020-12-13,2.8688055200990763,0.18347076860301978
East of England,2020-12-20,2.9041114585191914,0.17946342555270503
East of England,2020-12-27,2.948235543923248,0.16164524748296977
East of England,2021-01-03,2.987012015638379,0.12180619559434744
East of England,2021-01-10,2.9745418560754935,0.0871416078537712
East of England,2021-01-17,2.7955885602902164,0.10429590061865229
East of England,2021-01-24,2.8189530887985725,0.15064274332925598
East of England,2021-01-31,2.8440462826085144,0.17256808204559582
East of England,2021-02-07,2.890126031222783,0.17875526373459413
East of England,2021-02-14,2.8759849468760117,0.1772563598430063
East of England,2021-02-21,2.762996191650909,0.20139978548723403
East of England,2021-02-28,2.6250583390564897,0.21694631128008984
East of England,2021-03-07,2.5271098077137233,0.22712897048688685
East of England,2021-03-14,2.476289883878837,0.23386629939182252
East of England,2021-03-21,2.3823209438444324,0.23880283710946987
East of England,2021-03-28,2.2379186542888103,0.2435119077942512
East of England,2021-04-04,2.070694049327282,0.24842207899014904
East of England,2021-04-11,1.96076906944264,0.2530531801127255
East of England,2021-04-18,1.910617783345257,0.25791070188751364
East of England,2021-04-25,1.8294445706518006,0.26515356929037265
East of England,2021-05-02,1.674221965617038,0.27679991910219753
East of England,2021-05-09,1.4967036786031795,0.29019368761988956
East of England,2021-05-16,1.3849377346198255,0.30718365998848657
East of England,2021-05-23,1.3330396773269138,0.32878191184614647
London,2020-05-31,1.3673359841545576,0.32932201296515534
London,2020-06-07,1.3328897427801398,0.3055843001733527
London,2020-06-14,1.345432889949006,0.28651144445520454
London,2020-06-21,1.4112303455625332,0.27087781327930066
London,2020-06-28,1.4644867491074673,0.2658952053043347
London,2020-07-05,1.4939090342044377,0.2621095815895553
London,2020-07-12,1.507040239138652,0.25750604452961595
London,2020-07-19,1.588857400816126,0.2539510934492515
London,2020-07-26,1.7392109555878195,0.2510841881171339
London,2020-08-02,1.8597315818729085,0.24645634554626997
London,2020-08-09,1.9213673002592817,0.24131061067335938
London,2020-08-16,1.9645287684673671,0.23403557336068184
London,2020-08-23,2.0685412739201947,0.22503671327168376
London,2020-08-30,2.102572018628668,0.21458749583644718
London,2020-09-06,2.0989297783973306,0.19998718268522891
London,2020-09-13,2.061655066837554,0.1775868006653386
London,2020-09-20,2.071447004335902,0.140807419828195
London,2020-09-27,2.222667184131263,0.13356740105339543
London,2020-10-04,2.3144964505975607,0.1497736783858576
London,2020-10-11,2.3454662095271837,0.14984626420583239
London,2020-10-18,2.382500856199633,0.1194621715692537
London,2020-10-25,2.311646349347055,0.09982409294973388
London,2020-11-01,2.313668701283177,0.12570423880346884
London,2020-11-08,2.4068199064573848,0.14708971180164118
London,2020-11-15,2.5060534106347303,0.13737957595265354
London,2020-11-22,2.459112674877163,0.10576228529359193
London,2020-11-29,2.414505076374054,0.11440371777175132
London,2020-12-06,2.5082996424458757,0.15565918763683162
London,2020-12-13,2.609328389678725,0.17181188490674282
London,2020-12-20,2.709149573943996,0.17241270233285702
London,2020-12-27,2.802081235375312,0.15779674324803283
London,2021-01-03,2.8783696135912527,0.11821319580573711
London,2021-01-10,2.779978442554211,0.07958743200268259
London,2021-01-17,2.570824123548205,0.08857768422603694
London,2021-01-24,2.540417006311199,0.13326489636329375
London,2021-01-31,2.516834177231232,0.1522305697306789
London,2021-02-07,2.497772237690924,0.14456932940796946
London,2021-02-14,2.3520674941454196,0.13738791684800944
London,2021-02-21,2.024130658420346,0.1358393371950747
London,2021-02-28,1.9557408308527744,0.17519872037757542
London,2021-03-07,1.9169809650973608,0.19860536809154453
London,2021-03-14,1.9151684172976915,0.21348883844686523
London,2021-03-21,1.857851071738627,0.2240923611722506
London,2021-03-28,1.761081012174367,0.23126507592729298
London,2021-04-04,1.642725951366193,0.240782621071269
London,2021-04-11,1.5696613130880623,0.24911689830449274
London,2021-04-18,1.5453730845197202,0.25713096364032145
London,2021-04-25,1.4839449026527378,0.2666664569662606
London,2021-05-02,1.3700819882517616,0.27914544392816965
London,2021-05-09,1.2322314928949856,0.29251809566362524
London,2021-05-16,1.1449496447861776,0.3094741891491597
London,2021-05-23,1.105332503751559,0.3310520206612173
North East,2020-05-31,1.4661745348269177,0.35839350660664787
North East,2020-06-07,1.4508534663096786,0.335257585558162
North East,2020-06-14,1.4607257623041963,0.3181142481894199
North East,2020-06-21,1.5007858017586921,0.3061996882583997
North East,2020-06-28,1.5118384784132566,0.29560983215888276
North East,2020-07-05,1.48564481919224,0.2868197307791368
North East,2020-07-12,1.4523667081761973,0.2772399516202926
North East,2020-07-19,1.4875198360957829,0.27038743533031845
North East,2020-07-26,1.5869034728125817,0.2657114906542429
North East,2020-08-02,1.6707775184735676,0.25954662089037295
North East,2020-08-09,1.7296660839530649,0.253150281410212
North East,2020-08-16,1.7816741076820688,0.24442401716779472
North East,2020-08-23,1.8993790278971234,0.23528028126658368
North East,2020-08-30,2.001018083199599,0.22291541952386296
North East,2020-09-06,2.073576102466048,0.20667347684907553
North East,2020-09-13,2.139574091099501,0.1833703586313022
North East,2020-09-20,2.2324378591101923,0.14686334136044601
North East,2020-09-27,2.4052880864008643,0.1471805758283412
North East,2020-10-04,2.454500843539934,0.15496992548213823
North East,2020-10-11,2.4724225020169177,0.1553741151606808
North East,2020-10-18,2.488523250072977,0.12905964656241
North East,2020-10-25,2.4192026124906785,0.11389432137428081
North East,2020-11-01,2.494981802999013,0.14154475047631138
North East,2020-11-08,2.569912031856286,0.16135623836691876
North East,2020-11-15,2.641867786252862,0.1610179780869102
North East,2020-11-22,2.651555421973518,0.1544695377490504
North East,2020-11-29,2.5969663064510975,0.16577650950560285
North East,2020-12-06,2.5991328478855684,0.18772069739617536
North East,2020-12-13,2.616020958097664,0.198053739037844
North East,2020-12-20,2.64192313941052,0.19862034869339676
North East,2020-12-27,2.684664834989627,0.1914580120649324
North East,2021-01-03,2.7259153265641722,0.17434276140821298
North East,2021-01-10,2.7419351026014462,0.16568906568272035
North East,2021-01-17,2.64600708897712,0.16608425024919468
