phe_region,mid_week,Nt,nt,Nr,nr,M
East of England,2020-06-14,43675,895,0,0,6236072
East of England,2020-06-21,40324,678,7004,7,6236072
East of England,2020-06-28,46381,503,13142,8,6236072
East of England,2020-07-05,54575,552,2663,2,6236072
East of England,2020-07-12,61870,527,0,0,6236072
East of England,2020-07-19,65897,511,0,0,6236072
East of England,2020-07-26,78414,529,8935,1,6236072
East of England,2020-08-02,81328,457,11430,4,6236072
East of England,2020-08-09,81928,447,3245,1,6236072
East of England,2020-08-16,90310,470,0,0,6236072
East of England,2020-08-23,102133,695,9658,5,6236072
East of England,2020-08-30,100962,910,9775,7,6236072
East of England,2020-09-06,116734,1046,3415,5,6236072
East of England,2020-09-13,123570,1006,0,0,6236072
East of England,2020-09-20,121803,1387,9718,34,6236072
East of England,2020-09-27,124968,2001,12402,34,6236072
East of England,2020-10-04,138193,3450,3479,13,6236072
East of England,2020-10-11,138798,4343,0,0,6236072
East of England,2020-10-18,151742,6361,9768,51,6236072
East of England,2020-10-25,144170,7006,9935,75,6236072
East of England,2020-11-01,155960,7757,3475,24,6236072
East of England,2020-11-08,169035,10171,0,0,6236072
East of England,2020-11-15,170350,10045,7935,43,6236072
East of England,2020-11-22,176402,8456,11855,54,6236072
East of England,2020-11-29,170145,9058,4807,28,6236072
East of England,2020-12-06,185154,12998,5,0,6236072
East of England,2020-12-13,265731,25113,0,0,6236072
East of England,2020-12-20,359136,39495,0,0,6236072
East of England,2020-12-27,257429,47695,1,0,6236072
East of England,2021-01-03,300714,51408,3636,66,6236072
East of England,2021-01-10,291469,40238,15914,231,6236072
East of England,2021-01-17,245095,32046,4936,84,6236072
East of England,2021-01-24,209094,22695,424,5,6236072
East of England,2021-01-31,199333,15978,0,0,6236072
East of England,2021-02-07,178967,10579,7749,30,6236072
East of England,2021-02-14,172723,7714,12377,48,6236072
East of England,2021-02-21,176419,6057,3528,8,6236072
East of England,2021-02-28,159591,3855,0,0,6236072
East of England,2021-03-07,154530,2964,0,0,6236072
East of England,2021-03-14,163904,2778,7052,9,6236072
East of England,2021-03-21,172211,2605,10279,14,6236072
East of England,2021-03-28,158894,2072,2763,4,6236072
East of England,2021-04-04,141585,1532,0,0,6236072
East of England,2021-04-11,165857,1510,0,0,6236072
East of England,2021-04-18,170690,1153,6121,7,6236072
East of England,2021-04-25,171725,1023,9358,4,6236072
East of England,2021-05-02,160364,940,2771,2,6236072
East of England,2021-05-09,166263,910,0,0,6236072
East of England,2021-05-16,169179,998,0,0,6236072
East of England,2021-05-23,177770,1079,0,0,6236072
London,2020-05-31,54644,645,1082,0,8961989
London,2020-06-07,63219,559,0,0,8961989
London,2020-06-14,60522,444,0,0,8961989
London,2020-06-21,62641,429,3725,8,8961989
London,2020-06-28,77530,408,9369,13,8961989
London,2020-07-05,87160,463,2441,2,8961989
London,2020-07-12,99423,520,0,0,8961989
London,2020-07-19,105484,591,0,0,8961989
London,2020-07-26,105725,681,4837,3,8961989
London,2020-08-02,111413,738,7452,1,8961989
London,2020-08-09,115211,986,2726,3,8961989
London,2020-08-16,130379,1211,0,0,8961989
London,2020-08-23,148371,1453,5198,1,8961989
London,2020-08-30,136856,1885,6765,10,8961989
London,2020-09-06,158463,2644,2984,4,8961989
London,2020-09-13,158337,2353,0,0,8961989
London,2020-09-20,167393,3637,5648,28,8961989
London,2020-09-27,180381,5389,8808,38,8961989
London,2020-10-04,198668,8521,2919,12,8961989
London,2020-10-11,202341,10154,0,0,8961989
London,2020-10-18,221766,14193,5469,41,8961989
London,2020-10-25,212482,15141,7189,75,8961989
London,2020-11-01,347133,15546,3010,25,8961989
London,2020-11-08,257342,18641,0,0,8961989
London,2020-11-15,232099,20094,4221,24,8961989
London,2020-11-22,230752,16666,7160,66,8961989
London,2020-11-29,241869,17895,4118,46,8961989
London,2020-12-06,268223,24276,0,0,8961989
London,2020-12-13,393755,51677,0,0,8961989
London,2020-12-20,526237,82179,0,0,8961989
London,2020-12-27,356373,94778,3,0,8961989
London,2021-01-03,416062,101091,2512,62,8961989
London,2021-01-10,394831,79807,8442,205,8961989
London,2021-01-17,327011,60745,3778,101,8961989
London,2021-01-24,277812,39687,476,9,8961989
London,2021-01-31,266133,25791,0,0,8961989
London,2021-02-07,232632,15620,4403,26,8961989
London,2021-02-14,215691,10313,7994,37,8961989
London,2021-02-21,217022,7630,3092,28,8961989
London,2021-02-28,238618,5024,0,0,8961989
London,2021-03-07,242897,4019,0,0,8961989
London,2021-03-14,241067,3559,4062,4,8961989
London,2021-03-21,247502,3364,7320,12,8961989
London,2021-03-28,240570,2922,2569,6,8961989
London,2021-04-04,210350,2302,0,0,8961989
London,2021-04-11,264010,2393,0,0,8961989
London,2021-04-18,341853,2284,3554,3,8961989
London,2021-04-25,274479,1842,6557,6,8961989
London,2021-05-02,233389,1494,2366,2,8961989
London,2021-05-09,247445,1668,0,0,8961989
London,2021-05-16,261724,1794,0,0,8961989
London,2021-05-23,297559,2262,0,0,8961989
North East,2020-05-31,19374,618,478,1,2669941
North East,2020-06-07,20435,404,0,0,2669941
North East,2020-06-14,16802,286,0,0,2669941
North East,2020-06-21,16805,189,1328,0,2669941
North East,2020-06-28,18133,119,3684,1,2669941
North East,2020-07-05,19945,110,792,0,2669941
North East,2020-07-12,23931,119,0,0,2669941
North East,2020-07-19,20659,120,0,0,2669941
North East,2020-07-26,21318,86,2213,0,2669941
North East,2020-08-02,28319,153,2818,1,2669941
North East,2020-08-09,31747,214,751,0,2669941
North East,2020-08-16,39182,271,0,0,2669941
North East,2020-08-23,41720,361,2536,3,2669941
North East,2020-08-30,44802,682,2335,3,2669941
North East,2020-09-06,64128,1557,841,3,2669941
North East,2020-09-13,60716,1627,0,0,2669941
North East,2020-09-20,71857,3833,2792,26,2669941
North East,2020-09-27,73764,6092,3129,25,2669941
North East,2020-10-04,84028,9579,779,10,2669941
North East,2020-10-11,79688,9049,0,0,2669941
North East,2020-10-18,76892,8928,2566,33,2669941
North East,2020-10-25,72134,8320,2527,44,2669941
North East,2020-11-01,75470,9546,742,12,2669941
North East,2020-11-08,87998,12140,0,0,2669941
North East,2020-11-15,87293,10545,1471,15,2669941
North East,2020-11-22,77094,6794,2996,26,2669941
North East,2020-11-29,70833,5012,1202,12,2669941
North East,2020-12-06,67530,4651,0,0,2669941
North East,2020-12-13,69403,5380,0,0,2669941
North East,2020-12-20,82126,6478,0,0,2669941
North East,2020-12-27,70009,10046,1,0,2669941
North East,2021-01-03,91283,12340,1075,15,2669941
North East,2021-01-10,92676,10178,3494,31,2669941
North East,2021-01-17,87547,9445,1019,15,2669941
North East,2021-01-24,83333,7553,98,1,2669941
North East,2021-01-31,79792,6668,0,0,2669941
North East,2021-02-07,75943,5265,2068,13,2669941
North East,2021-02-14,76579,4699,2877,22,2669941
North East,2021-02-21,70601,3486,887,6,2669941
North East,2021-02-28,67651,2624,0,0,2669941
North East,2021-03-07,66265,2130,0,0,2669941
North East,2021-03-14,71175,1970,1673,7,2669941
North East,2021-03-21,75037,1531,2592,6,2669941
North East,2021-03-28,72320,1568,669,3,2669941
North East,2021-04-04,59235,903,0,0,2669941
North East,2021-04-11,64312,646,0,0,2669941
North East,2021-04-18,63661,534,1625,3,2669941
North East,2021-04-25,67887,496,2398,3,2669941
North East,2021-05-02,64175,484,631,0,2669941
North East,2021-05-09,65680,536,0,0,2669941
North East,2021-05-16,65217,497,0,0,2669941
North East,2021-05-23,70729,503,0,0,2669941
North West,2020-05-31,65334,2777,1088,1,7341196
North West,2020-06-07,65028,1993,0,0,7341196
North West,2020-06-14,58375,1721,0,0,7341196
North West,2020-06-21,55696,1501,6036,10,7341196
North West,2020-06-28,61049,1176,10228,6,7341196
North West,2020-07-05,66742,1093,2129,0,7341196
North West,2020-07-12,81362,998,0,0,7341196
North West,2020-07-19,79991,1247,0,0,7341196
North West,2020-07-26,95643,1718,7625,3,7341196
North West,2020-08-02,128587,2005,9198,6,7341196
North West,2020-08-09,136371,2375,2730,1,7341196
North West,2020-08-16,133727,2015,0,0,7341196
North West,2020-08-23,134773,1926,7805,6,7341196
North West,2020-08-30,134872,2989,6824,13,7341196
North West,2020-09-06,179759,5559,2558,10,7341196
North West,2020-09-13,197101,7256,0,0,7341196
North West,2020-09-20,207145,12252,7695,63,7341196
North West,2020-09-27,217556,19711,9176,102,7341196
North West,2020-10-04,242372,27774,2250,30,7341196
North West,2020-10-11,236918,29666,0,0,7341196
North West,2020-10-18,248629,34844,7816,143,7341196
North West,2020-10-25,250032,34055,7608,179,7341196
North West,2020-11-01,232013,32914,2408,50,7341196
North West,2020-11-08,273972,29565,0,0,7341196
North West,2020-11-15,241749,22972,6056,57,7341196
North West,2020-11-22,212733,15439,8759,73,7341196
North West,2020-11-29,194698,12334,3497,26,7341196
North West,2020-12-06,190202,11642,2,0,7341196
North West,2020-12-13,196587,13819,0,0,7341196
North West,2020-12-20,239730,18163,0,0,7341196
North West,2020-12-27,189843,27960,2,0,7341196
North West,2021-01-03,274219,46751,2947,44,7341196
North West,2021-01-10,295897,45043,11340,134,7341196
North West,2021-01-17,259929,36833,3225,37,7341196
North West,2021-01-24,230002,27033,234,2,7341196
North West,2021-01-31,219336,21394,0,0,7341196
North West,2021-02-07,220355,16494,7264,56,7341196
North West,2021-02-14,205845,13808,9395,45,7341196
North West,2021-02-21,193960,11118,2724,11,7341196
North West,2021-02-28,185850,6986,0,0,7341196
North West,2021-03-07,176426,5914,0,0,7341196
North West,2021-03-14,189962,5450,5847,14,7341196
North West,2021-03-21,199302,5012,8068,22,7341196
North West,2021-03-28,179427,3956,2185,5,7341196
North West,2021-04-04,151998,2703,0,0,7341196
North West,2021-04-11,168964,2271,0,0,7341196
North West,2021-04-18,170771,1630,5011,6,7341196
North West,2021-04-25,175585,1662,7226,8,7341196
North West,2021-05-02,172414,1911,2285,1,7341196
North West,2021-05-09,190419,2616,0,0,7341196
North West,2021-05-16,208114,3397,0,0,7341196
North West,2021-05-23,204878,4931,0,0,7341196
South East,2020-05-31,77412,1830,2011,3,9180135
South East,2020-06-07,81893,1311,0,0,9180135
South East,2020-06-14,68228,932,0,0,9180135
South East,2020-06-21,63758,746,8519,10,9180135
South East,2020-06-28,77549,671,21516,8,9180135
South East,2020-07-05,91354,622,4329,3,9180135
South East,2020-07-12,107031,640,0,0,9180135
South East,2020-07-19,116531,663,0,0,9180135
South East,2020-07-26,123575,622,13572,2,9180135
South East,2020-08-02,129318,483,17201,2,9180135
South East,2020-08-09,128876,547,5300,3,9180135
South East,2020-08-16,140208,680,0,0,9180135
South East,2020-08-23,146599,857,14647,5,9180135
South East,2020-08-30,145216,1058,14914,11,9180135
South East,2020-09-06,177079,1555,5253,4,9180135
South East,2020-09-13,177377,1122,0,0,9180135
South East,2020-09-20,175775,1576,14973,38,9180135
South East,2020-09-27,186304,2491,18996,45,9180135
South East,2020-10-04,213060,4940,5308,20,9180135
South East,2020-10-11,212544,6266,0,0,9180135
South East,2020-10-18,226398,8881,14891,64,9180135
South East,2020-10-25,220894,11114,15688,141,9180135
South East,2020-11-01,253052,13275,5425,39,9180135
South East,2020-11-08,266218,17285,0,0,9180135
South East,2020-11-15,273364,18231,11760,78,9180135
South East,2020-11-22,276615,14927,18774,121,9180135
South East,2020-11-29,269156,15599,7706,55,9180135
South East,2020-12-06,277581,19968,4,0,9180135
South East,2020-12-13,348939,35212,0,0,9180135
South East,2020-12-20,449245,50037,0,0,9180135
South East,2020-12-27,333081,62943,5,0,9180135
South East,2021-01-03,399587,69204,5160,72,9180135
South East,2021-01-10,399693,55446,26108,398,9180135
South East,2021-01-17,337789,43782,6834,100,9180135
South East,2021-01-24,294346,29777,659,3,9180135
South East,2021-01-31,290141,20066,0,0,9180135
South East,2021-02-07,273291,12860,13077,39,9180135
South East,2021-02-14,251146,9296,17910,60,9180135
South East,2021-02-21,248393,7314,5626,20,9180135
South East,2021-02-28,233859,4561,0,0,9180135
South East,2021-03-07,229672,3530,0,0,9180135
South East,2021-03-14,243908,3114,10737,5,9180135
South East,2021-03-21,254851,2970,15789,11,9180135
South East,2021-03-28,238411,2471,4585,2,9180135
South East,2021-04-04,210116,1793,0,0,9180135
South East,2021-04-11,232677,1619,0,0,9180135
South East,2021-04-18,237608,1291,9156,7,9180135
South East,2021-04-25,245227,1165,14543,14,9180135
South East,2021-05-02,228269,920,4553,5,9180135
South East,2021-05-09,239447,873,0,0,9180135
South East,2021-05-16,245574,920,0,0,9180135
South East,2021-05-23,249312,1338,0,0,9180135
South West,2020-05-31,52535,714,599,0,5624696
South West,2020-06-07,54190,441,0,0,5624696
South West,2020-06-14,40500,226,0,0,5624696
South West,2020-06-21,39625,161,4739,9,5624696
South West,2020-06-28,44755,152,7635,3,5624696
South West,2020-07-05,51382,136,2627,0,5624696
South West,2020-07-12,60042,118,0,0,5624696
South West,2020-07-19,60725,161,0,0,5624696
South West,2020-07-26,64521,264,5707,1,5624696
South West,2020-08-02,73885,266,7233,2,5624696
South West,2020-08-09,78926,291,2696,0,5624696
South West,2020-08-16,84461,410,0,0,5624696
South West,2020-08-23,89287,488,5458,0,5624696
South West,2020-08-30,90832,585,5864,6,5624696
South West,2020-09-06,111044,779,3258,4,5624696
South West,2020-09-13,116273,606,0,0,5624696
South West,2020-09-20,118085,1025,5282,16,5624696
South West,2020-09-27,120095,1756,7526,26,5624696
South West,2020-10-04,134312,3915,3344,13,5624696
South West,2020-10-11,138893,5460,0,0,5624696
South West,2020-10-18,142110,6740,5842,31,5624696
South West,2020-10-25,143039,8735,6647,63,5624696
South West,2020-11-01,156071,9805,2705,21,5624696
South West,2020-11-08,169815,11689,0,0,5624696
South West,2020-11-15,172065,10938,4638,31,5624696
South West,2020-11-22,162329,6931,7988,40,5624696
South West,2020-11-29,154091,5654,3981,19,5624696
South West,2020-12-06,151839,5398,5,0,5624696
South West,2020-12-13,165930,7829,0,0,5624696
South West,2020-12-20,205332,10895,0,0,5624696
South West,2020-12-27,167736,16672,2,0,5624696
South West,2021-01-03,212338,23139,2300,22,5624696
South West,2021-01-10,231220,21755,9415,80,5624696
South West,2021-01-17,206814,18044,4169,19,5624696
South West,2021-01-24,187523,12840,425,2,5624696
South West,2021-01-31,179190,9410,0,0,5624696
South West,2021-02-07,189816,6821,6140,17,5624696
South West,2021-02-14,185387,5013,7614,14,5624696
South West,2021-02-21,165376,3757,2749,4,5624696
South West,2021-02-28,162842,2315,0,0,5624696
South West,2021-03-07,151427,1898,0,0,5624696
South West,2021-03-14,156574,1535,4888,8,5624696
South West,2021-03-21,161299,1560,7022,5,5624696
South West,2021-03-28,155039,1192,2132,2,5624696
South West,2021-04-04,137926,798,0,0,5624696
South West,2021-04-11,149587,700,0,0,5624696
South West,2021-04-18,151028,597,4282,1,5624696
South West,2021-04-25,155704,524,6251,4,5624696
South West,2021-05-02,146917,426,1888,3,5624696
South West,2021-05-09,152390,387,0,0,5624696
South West,2021-05-16,152476,358,0,0,5624696
South West,2021-05-23,155349,384,0,0,5624696
West Midlands,2020-05-31,44610,1194,769,0,5934037
West Midlands,2020-06-07,47292,945,0,0,5934037
West Midlands,2020-06-14,41200,845,0,0,5934037
West Midlands,2020-06-21,37718,635,3980,6,5934037
West Midlands,2020-06-28,41255,531,8692,5,5934037
West Midlands,2020-07-05,48016,462,2114,2,5934037
West Midlands,2020-07-12,55661,639,0,0,5934037
West Midlands,2020-07-19,49135,566,0,0,5934037
West Midlands,2020-07-26,57913,691,5678,2,5934037
West Midlands,2020-08-02,72774,719,7197,2,5934037
West Midlands,2020-08-09,82639,1008,2304,1,5934037
West Midlands,2020-08-16,91955,1004,0,0,5934037
West Midlands,2020-08-23,99282,1050,6037,2,5934037
West Midlands,2020-08-30,97617,1403,5995,8,5934037
West Midlands,2020-09-06,125616,2946,2398,0,5934037
West Midlands,2020-09-13,141206,2598,0,0,5934037
West Midlands,2020-09-20,146962,4549,6064,19,5934037
West Midlands,2020-09-27,137247,5192,7871,32,5934037
West Midlands,2020-10-04,148763,7504,2308,17,5934037
West Midlands,2020-10-11,149447,9542,0,0,5934037
West Midlands,2020-10-18,165901,13250,6219,60,5934037
West Midlands,2020-10-25,161581,16068,6499,113,5934037
West Midlands,2020-11-01,172480,19839,2044,22,5934037
West Midlands,2020-11-08,190198,23459,0,0,5934037
West Midlands,2020-11-15,194495,21869,5010,68,5934037
West Midlands,2020-11-22,188907,16312,7744,70,5934037
West Midlands,2020-11-29,169497,11927,2989,18,5934037
West Midlands,2020-12-06,165610,11604,0,0,5934037
West Midlands,2020-12-13,172444,14154,0,0,5934037
West Midlands,2020-12-20,204182,18270,0,0,5934037
West Midlands,2020-12-27,155511,25897,2,0,5934037
West Midlands,2021-01-03,224359,39516,2380,28,5934037
West Midlands,2021-01-10,236221,37492,9547,129,5934037
West Midlands,2021-01-17,222828,35539,2777,37,5934037
West Midlands,2021-01-24,187400,24259,214,3,5934037
West Midlands,2021-01-31,183368,19447,0,0,5934037
West Midlands,2021-02-07,186788,14112,5684,22,5934037
West Midlands,2021-02-14,168060,11250,7646,32,5934037
West Midlands,2021-02-21,153372,9271,2137,6,5934037
West Midlands,2021-02-28,146124,5612,0,0,5934037
West Midlands,2021-03-07,143105,4330,0,0,5934037
West Midlands,2021-03-14,151058,4001,4464,14,5934037
West Midlands,2021-03-21,161915,3704,6600,8,5934037
West Midlands,2021-03-28,150894,2902,1852,4,5934037
West Midlands,2021-04-04,125937,1830,0,0,5934037
West Midlands,2021-04-11,135432,1548,0,0,5934037
West Midlands,2021-04-18,137620,1308,3915,4,5934037
West Midlands,2021-04-25,140553,1052,6078,10,5934037
West Midlands,2021-05-02,139128,931,1864,1,5934037
West Midlands,2021-05-09,144228,789,0,0,5934037
West Midlands,2021-05-16,154403,836,0,0,5934037
West Midlands,2021-05-23,161628,1046,0,0,5934037
Yorkshire and The Humber,2020-05-31,44501,1883,529,1,5502967
Yorkshire and The Humber,2020-06-07,44543,1554,0,0,5502967
Yorkshire and The Humber,2020-06-14,43867,1714,0,0,5502967
Yorkshire and The Humber,2020-06-21,43490,1517,3193,1,5502967
Yorkshire and The Humber,2020-06-28,46163,1215,5871,5,5502967
Yorkshire and The Humber,2020-07-05,53366,987,1120,0,5502967
Yorkshire and The Humber,2020-07-12,65524,965,0,0,5502967
Yorkshire and The Humber,2020-07-19,58347,908,0,0,5502967
Yorkshire and The Humber,2020-07-26,64119,1093,4260,2,5502967
Yorkshire and The Humber,2020-08-02,76200,1082,5239,3,5502967
Yorkshire and The Humber,2020-08-09,79626,1321,1406,1,5502967
Yorkshire and The Humber,2020-08-16,86975,1182,0,0,5502967
Yorkshire and The Humber,2020-08-23,88327,1190,4660,5,5502967
Yorkshire and The Humber,2020-08-30,85378,1747,4076,11,5502967
Yorkshire and The Humber,2020-09-06,108468,2809,1359,1,5502967
Yorkshire and The Humber,2020-09-13,112496,3079,0,0,5502967
Yorkshire and The Humber,2020-09-20,125159,4741,4725,26,5502967
Yorkshire and The Humber,2020-09-27,133757,8652,5464,35,5502967
Yorkshire and The Humber,2020-10-04,157059,15734,1404,13,5502967
Yorkshire and The Humber,2020-10-11,158197,16928,0,0,5502967
Yorkshire and The Humber,2020-10-18,168108,21728,4903,80,5502967
Yorkshire and The Humber,2020-10-25,159853,23342,4402,90,5502967
Yorkshire and The Humber,2020-11-01,169901,26663,1384,18,5502967
Yorkshire and The Humber,2020-11-08,181982,27145,0,0,5502967
Yorkshire and The Humber,2020-11-15,174128,22131,3874,42,5502967
Yorkshire and The Humber,2020-11-22,156217,14365,5266,41,5502967
Yorkshire and The Humber,2020-11-29,142546,10990,2142,24,5502967
Yorkshire and The Humber,2020-12-06,137364,9291,0,0,5502967
Yorkshire and The Humber,2020-12-13,141032,9980,0,0,5502967
Yorkshire and The Humber,2020-12-20,157953,11693,0,0,5502967
Yorkshire and The Humber,2020-12-27,121627,14789,1,0,5502967
Yorkshire and The Humber,2021-01-03,160702,19135,1935,12,5502967
Yorkshire and The Humber,2021-01-10,174400,17378,6968,66,5502967
Yorkshire and The Humber,2021-01-17,152314,15060,1512,13,5502967
Yorkshire and The Humber,2021-01-24,152408,13188,160,2,5502967
Yorkshire and The Humber,2021-01-31,145941,11385,0,0,5502967
Yorkshire and The Humber,2021-02-07,147971,10328,4171,18,5502967
Yorkshire and The Humber,2021-02-14,141756,9389,5434,19,5502967
Yorkshire and The Humber,2021-02-21,142724,8672,1609,5,5502967
Yorkshire and The Humber,2021-02-28,135838,6413,0,0,5502967
Yorkshire and The Humber,2021-03-07,134631,5934,0,0,5502967
Yorkshire and The Humber,2021-03-14,143766,6043,3548,11,5502967
Yorkshire and The Humber,2021-03-21,151115,6379,4794,10,5502967
Yorkshire and The Humber,2021-03-28,136959,5133,1249,7,5502967
Yorkshire and The Humber,2021-04-04,117292,3782,0,0,5502967
Yorkshire and The Humber,2021-04-11,127187,3163,0,0,5502967
Yorkshire and The Humber,2021-04-18,125113,2435,2871,2,5502967
Yorkshire and The Humber,2021-04-25,130127,2270,4402,2,5502967
Yorkshire and The Humber,2021-05-02,124213,2152,1352,2,5502967
Yorkshire and The Humber,2021-05-09,130335,2029,0,0,5502967
Yorkshire and The Humber,2021-05-16,129011,1902,0,0,5502967
Yorkshire and The Humber,2021-05-23,134184,1940,0,0,5502967
