phe_region,mid_week,Nt,nt,Nr,nr,M
East Midlands,2020-05-31,41365,1681,791,0,4835928
East Midlands,2020-06-07,43275,1469,0,0,4835928
East Midlands,2020-06-14,36437,1464,0,0,4835928
East Midlands,2020-06-21,36470,1488,6402,7,4835928
East Midlands,2020-06-28,42239,1115,11798,6,4835928
East Midlands,2020-07-05,54292,1098,2352,1,4835928
East Midlands,2020-07-12,69157,946,0,0,4835928
East Midlands,2020-07-19,60777,808,0,0,4835928
East Midlands,2020-07-26,63705,780,8226,3,4835928
East Midlands,2020-08-02,71919,826,9850,5,4835928
East Midlands,2020-08-09,75915,1050,2789,1,4835928
East Midlands,2020-08-16,83335,805,0,0,4835928
East Midlands,2020-08-23,85702,757,8727,2,4835928
East Midlands,2020-08-30,80475,924,7877,4,4835928
East Midlands,2020-09-06,107157,1838,2829,4,4835928
East Midlands,2020-09-13,106290,1519,0,0,4835928
East Midlands,2020-09-20,102651,2062,8846,41,4835928
East Midlands,2020-09-27,100937,3691,10104,36,4835928
East Midlands,2020-10-04,120527,9677,2908,24,4835928
East Midlands,2020-10-11,129199,11431,0,0,4835928
East Midlands,2020-10-18,137155,12570,9010,98,4835928
East Midlands,2020-10-25,134101,14599,8654,111,4835928
East Midlands,2020-11-01,138563,16072,2713,24,4835928
East Midlands,2020-11-08,149973,18088,0,0,4835928
East Midlands,2020-11-15,147972,15537,7606,82,4835928
East Midlands,2020-11-22,140254,10893,10631,101,4835928
East Midlands,2020-11-29,130761,9066,3725,38,4835928
East Midlands,2020-12-06,128080,9552,2,0,4835928
East Midlands,2020-12-13,137453,11540,0,0,4835928
East Midlands,2020-12-20,159269,14043,0,0,4835928
East Midlands,2020-12-27,124197,17774,5,0,4835928
East Midlands,2021-01-03,164504,23783,2878,35,4835928
East Midlands,2021-01-10,181187,21934,14477,132,4835928
East Midlands,2021-01-17,163533,20940,3878,55,4835928
East Midlands,2021-01-24,146643,16360,270,3,4835928
East Midlands,2021-01-31,141576,14004,0,0,4835928
East Midlands,2021-02-07,135693,10784,8269,40,4835928
East Midlands,2021-02-14,133927,9631,10206,57,4835928
East Midlands,2021-02-21,125446,8167,2706,6,4835928
East Midlands,2021-02-28,117068,5005,0,0,4835928
East Midlands,2021-03-07,113378,4108,0,0,4835928
East Midlands,2021-03-14,122623,3602,6634,15,4835928
East Midlands,2021-03-21,133441,3588,8973,14,4835928
East Midlands,2021-03-28,118131,2883,2309,5,4835928
East Midlands,2021-04-04,102471,2089,0,0,4835928
East Midlands,2021-04-11,110863,1663,0,0,4835928
East Midlands,2021-04-18,113724,1174,5505,5,4835928
East Midlands,2021-04-25,116423,973,8253,8,4835928
East Midlands,2021-05-02,109293,1034,2458,2,4835928
East Midlands,2021-05-09,117520,1200,0,0,4835928
East Midlands,2021-05-16,116872,926,0,0,4835928
East Midlands,2021-05-23,122174,1047,0,0,4835928
East of England,2020-05-31,51516,1404,1190,1,6236072
East of England,2020-06-07,55238,1144,0,0,6236072
