upper,lower,mean,var,mid_week,phe_region,alpha,beta
0.705994366200448,0.5805110164457054,0.646648666631345,9.916708546436272e-4,2020-05-31,East Midlands,148.34981397048085,81.06350059381748
0.705994366200448,0.5805110164457054,0.646648666631345,9.916708546436272e-4,2020-06-07,East Midlands,148.34981397048085,81.06350059381748
0.705994366200448,0.5805110164457054,0.646648666631345,9.916708546436272e-4,2020-06-14,East Midlands,148.34981397048085,81.06350059381748
0.7055299930370953,0.5759972453720312,0.6443806918138957,0.0010568361683029345,2020-06-21,East Midlands,139.07694656611523,76.7534597960329
0.685794469973324,0.5564945675990594,0.624125338326751,0.0010547232656024893,2020-06-28,East Midlands,138.19463224200723,83.22664927894525
0.6797079263352767,0.5337869033139727,0.6095689462046625,0.0013425213266106634,2020-07-05,East Midlands,107.45139269799554,68.82299491150512
0.6896380045258538,0.5506313300726977,0.6240366143183188,0.0012201959769086873,2020-07-12,East Midlands,119.36349166838609,71.91293174913345
0.680816113292343,0.5414198623129916,0.614137525341255,0.0012253197832063324,2020-07-19,East Midlands,118.15794440420305,74.2386109740842
0.6881611912469823,0.5459057055936799,0.6203990266007716,0.0012772094627039787,2020-07-26,East Midlands,113.774696516283,69.61485059449497
0.7058683174206638,0.5741212145644474,0.6437205487384472,0.0010924860355521326,2020-08-02,East Midlands,134.49183332118488,74.43707781076476
0.7272613332630969,0.6104235150102665,0.6731171319920316,8.585205286720123e-4,2020-08-09,East Midlands,171.8402547731909,83.45001582896212
0.7055487725112868,0.5933420951887305,0.6525176202511115,7.911092492686703e-4,2020-08-16,East Midlands,186.36436449315613,99.2438071627091
0.6808876612119951,0.541893859759073,0.6137190083608036,0.0012118736878497165,2020-08-23,East Midlands,119.44262963489908,75.17840704102396
0.7133643333108315,0.5793789752990437,0.6507010145959626,0.0011283085125125428,2020-08-30,East Midlands,130.4280900601461,70.01433608411362
0.7655624274451608,0.6711060761911727,0.7231910157503946,5.561516378361359e-4,2020-09-06,East Midlands,259.5880997349025,99.36008142516037
0.7371551057423641,0.6557604328972204,0.6993364727519977,4.1593374100375575e-4,2020-09-13,East Midlands,352.8328452381632,151.6923139455286
0.7195331588615476,0.6030746493903988,0.6646899046935036,8.562863374726348e-4,2020-09-20,East Midlands,172.34314848015654,86.94038698985484
0.7631806284565822,0.6688465378381251,0.7208114250363489,5.566928881144895e-4,2020-09-27,East Midlands,259.8497161356556,100.64639576011795
0.7963127727082581,0.7370257949942365,0.7696969570396339,2.2619984319829648e-4,2020-10-04,East Midlands,602.4102794276652,180.24875789609203
0.7691427139278194,0.709679676745655,0.7414596806213006,2.2500166549218077e-4,2020-10-11,East Midlands,630.9683597088174,220.01298991777614
0.7301912373119019,0.6349927954914814,0.6852636857464676,5.71561215040108e-4,2020-10-18,East Midlands,257.8974801704196,118.45031927482343
0.7247351334095553,0.6133671702415856,0.6731079611405583,7.803604210929263e-4,2020-10-25,East Midlands,189.11918111362306,91.84493167619911
0.7241747238961234,0.6136534144713605,0.6727916189666068,7.699768373375648e-4,2020-11-01,East Midlands,191.68416789915977,93.22450589434328
0.7225730587857788,0.6099259447915328,0.6702588426885904,7.949717108034217e-4,2020-11-08,East Midlands,185.669954342258,91.34236167208259
0.7048799591036723,0.587442968647599,0.6491839090347279,8.690475212945368e-4,2020-11-15,East Midlands,169.47712248980721,91.5846816171413
0.6666531282923046,0.5284732338609212,0.6001402889160653,0.0012042573936490461,2020-11-22,East Midlands,118.9895916752734,79.28003606490836
0.655224884272265,0.49680514742378096,0.5790350802217645,0.0015968526494424312,2020-11-29,East Midlands,87.80845768763018,63.83772177009875
0.6896244772649486,0.5399144113327304,0.618706644750449,0.0014241171601190206,2020-12-06,East Midlands,101.87166734618876,62.780948252077486
0.721440984009113,0.5990566684596118,0.6646719682702162,9.513265631795415e-4,2020-12-13,East Midlands,155.0591173137975,78.22756350912485
0.733303106743067,0.6265720168152271,0.6840984506167818,7.164617187544681e-4,2020-12-20,East Midlands,205.66186566869914,94.97010548000733
0.7377203885994117,0.635348091877539,0.6903060250087917,6.573644553651102e-4,2020-12-27,East Midlands,223.80634503677135,100.40688348592765
0.7434920532630559,0.6453040756269542,0.698381282813285,6.070249748395224e-4,2021-01-03,East Midlands,241.64820785634654,104.36365386325245
0.7220952140181585,0.6206351656178885,0.6747876554320751,6.518981322215505e-4,2021-01-10,East Midlands,226.4798163960507,109.15142192444408
0.6986817185566894,0.5743479568401461,0.6392683397893038,9.745794325392356e-4,2021-01-17,East Midlands,150.62397605709455,84.995351042287
0.6825008046515885,0.5469169222572243,0.6178223915036178,0.001159463458698615,2021-01-24,East Midlands,125.19805797326919,77.44603472231914
0.6710110858870043,0.524089667655744,0.6003772198902267,0.0013689298035306735,2021-01-31,East Midlands,104.62426770036825,69.63995191725446
0.6681863721490603,0.519541861447207,0.5972247347811013,0.001411831243496585,2021-02-07,East Midlands,101.15773254727416,68.22194424114814
0.671361345639557,0.5203640574997953,0.5990355677130816,0.0014480031816721671,2021-02-14,East Midlands,98.76782131498382,66.1102370815259
0.6799153589226621,0.5345549263433343,0.6109845416873462,0.0013362594074394637,2021-02-21,East Midlands,108.06573696358753,68.80573782879286
0.6517102483369598,0.5044563540093243,0.580992174821986,0.0013798584004239421,2021-02-28,East Midlands,101.92002566798278,73.50406795119675
0.6383954616082564,0.4705778971640547,0.5567226007710684,0.0017993383272753305,2021-03-07,East Midlands,75.79880157394999,60.35302964139427
0.6701400394658718,0.5103437442222473,0.5942013556409684,0.001635340112290205,2021-03-14,East Midlands,87.01904628271274,59.42802162887893
