phe_region,mid_week,Nr,nr
North East,2020-09-20,2792,26
North East,2020-09-27,3129,25
North East,2020-10-04,779,10
North East,2020-10-18,2566,33
North East,2020-10-25,2527,44
North East,2020-11-01,742,12
North East,2020-11-15,1471,15
North East,2020-11-22,2996,26
North East,2020-11-29,1202,12
North East,2020-12-06,0,0
North East,2020-12-27,1,0
North East,2021-01-03,1075,15
North East,2021-01-10,3494,31
North East,2021-01-17,1019,15
North East,2021-01-24,98,1
North East,2021-02-07,2068,13
North East,2021-02-14,2877,22
North East,2021-02-21,887,6
North East,2021-03-14,1673,7
North East,2021-03-21,2592,6
North East,2021-03-28,669,3
North East,2021-04-18,1625,3
North East,2021-04-25,2398,3
North East,2021-05-02,631,0
North West,2020-05-31,1088,1
North West,2020-06-21,6036,10
North West,2020-06-28,10228,6
North West,2020-07-05,2129,0
North West,2020-07-26,7625,3
North West,2020-08-02,9198,6
North West,2020-08-09,2730,1
North West,2020-08-23,7805,6
North West,2020-08-30,6824,13
North West,2020-09-06,2558,10
North West,2020-09-20,7695,63
North West,2020-09-27,9176,102
North West,2020-10-04,2250,30
North West,2020-10-18,7816,143
North West,2020-10-25,7608,179
North West,2020-11-01,2408,50
North West,2020-11-15,6056,57
North West,2020-11-22,8759,73
North West,2020-11-29,3497,26
North West,2020-12-06,2,0
North West,2020-12-27,2,0
North West,2021-01-03,2947,44
North West,2021-01-10,11340,134
North West,2021-01-17,3225,37
North West,2021-01-24,234,2
North West,2021-02-07,7264,56
North West,2021-02-14,9395,45
North West,2021-02-21,2724,11
North West,2021-03-14,5847,14
North West,2021-03-21,8068,22
North West,2021-03-28,2185,5
North West,2021-04-18,5011,6
North West,2021-04-25,7226,8
North West,2021-05-02,2285,1
South East,2020-05-31,2011,3
South East,2020-06-21,8519,10
South East,2020-06-28,21516,8
South East,2020-07-05,4329,3
South East,2020-07-26,13572,2
South East,2020-08-02,17201,2
South East,2020-08-09,5300,3
South East,2020-08-23,14647,5
South East,2020-08-30,14914,11
South East,2020-09-06,5253,4
South East,2020-09-20,14973,38
South East,2020-09-27,18996,45
South East,2020-10-04,5308,20
South East,2020-10-18,14891,64
South East,2020-10-25,15688,141
South East,2020-11-01,5425,39
South East,2020-11-15,11760,78
South East,2020-11-22,18774,121
South East,2020-11-29,7706,55
South East,2020-12-06,4,0
South East,2020-12-27,5,0
South East,2021-01-03,5160,72
South East,2021-01-10,26108,398
South East,2021-01-17,6834,100
South East,2021-01-24,659,3
South East,2021-02-07,13077,39
South East,2021-02-14,17910,60
South East,2021-02-21,5626,20
South East,2021-03-14,10737,5
South East,2021-03-21,15789,11
South East,2021-03-28,4585,2
South East,2021-04-18,9156,7
South East,2021-04-25,14543,14
South East,2021-05-02,4553,5
South West,2020-05-31,599,0
South West,2020-06-21,4739,9
South West,2020-06-28,7635,3
South West,2020-07-05,2627,0
South West,2020-07-26,5707,1
South West,2020-08-02,7233,2
South West,2020-08-09,2696,0
South West,2020-08-23,5458,0
South West,2020-08-30,5864,6
South West,2020-09-06,3258,4
South West,2020-09-20,5282,16
South West,2020-09-27,7526,26
South West,2020-10-04,3344,13
South West,2020-10-18,5842,31
South West,2020-10-25,6647,63
South West,2020-11-01,2705,21
South West,2020-11-15,4638,31
South West,2020-11-22,7988,40
South West,2020-11-29,3981,19
South West,2020-12-06,5,0
South West,2020-12-27,2,0
South West,2021-01-03,2300,22
South West,2021-01-10,9415,80
South West,2021-01-17,4169,19
South West,2021-01-24,425,2
South West,2021-02-07,6140,17
South West,2021-02-14,7614,14
South West,2021-02-21,2749,4
South West,2021-03-14,4888,8
South West,2021-03-21,7022,5
South West,2021-03-28,2132,2
South West,2021-04-18,4282,1
South West,2021-04-25,6251,4
South West,2021-05-02,1888,3
West Midlands,2020-05-31,769,0
West Midlands,2020-06-21,3980,6
West Midlands,2020-06-28,8692,5
West Midlands,2020-07-05,2114,2
West Midlands,2020-07-26,5678,2
West Midlands,2020-08-02,7197,2
West Midlands,2020-08-09,2304,1
West Midlands,2020-08-23,6037,2
West Midlands,2020-08-30,5995,8
West Midlands,2020-09-06,2398,0
West Midlands,2020-09-20,6064,19
West Midlands,2020-09-27,7871,32
West Midlands,2020-10-04,2308,17
