phe_region,mid_week,delta_prior_mean,delta_prior_sd
East Midlands,2020-05-31,2.794582130405702,0.3195856721244675
East Midlands,2020-06-07,2.7797199417728993,0.29342917393221646
East Midlands,2020-06-14,2.8083662233356645,0.27052510980457845
East Midlands,2020-06-21,2.8768972909642225,0.24920301395960126
East Midlands,2020-06-28,2.8438338197953237,0.2461108685667771
East Midlands,2020-07-05,2.7481437865452354,0.2454940401819034
East Midlands,2020-07-12,2.6329132278940572,0.24244959804743713
East Midlands,2020-07-19,2.5836706755413585,0.2386009114544728
East Midlands,2020-07-26,2.600623567109803,0.233564950283696
East Midlands,2020-08-02,2.5770581094114697,0.2282374960021356
East Midlands,2020-08-09,2.506395698791628,0.22721144677440688
East Midlands,2020-08-16,2.4124701746563373,0.2224853729641802
East Midlands,2020-08-23,2.388809952536734,0.21440486242018705
East Midlands,2020-08-30,2.324992604738167,0.20145633118573153
East Midlands,2020-09-06,2.217633092154329,0.18377696092927412
East Midlands,2020-09-13,2.0825825871571206,0.1609304855380918
East Midlands,2020-09-20,1.995700701732599,0.1159841891437135
East Midlands,2020-09-27,2.277548399335212,0.11547464582512107
East Midlands,2020-10-04,2.390239905397246,0.12450107267429303
East Midlands,2020-10-11,2.4307031175355047,0.1310515060948292
East Midlands,2020-10-18,2.4739259382127856,0.08920031975167088
East Midlands,2020-10-25,2.5248378990885003,0.08382870153052621
East Midlands,2020-11-01,2.6289732911071018,0.12177033938543405
East Midlands,2020-11-08,2.6091190309231904,0.13228801255199368
East Midlands,2020-11-15,2.594255932612593,0.09891458511777496
East Midlands,2020-11-22,2.4623741501244925,0.08905405469892526
East Midlands,2020-11-29,2.3912605812620473,0.11227252256283178
East Midlands,2020-12-06,2.492345518700741,0.15696071104893236
East Midlands,2020-12-13,2.602514171987906,0.17620353822704157
East Midlands,2020-12-20,2.718112363801276,0.17877473808387032
East Midlands,2020-12-27,2.8483150719278307,0.16763545319907625
East Midlands,2021-01-03,2.9815119343221346,0.137990725997479
East Midlands,2021-01-10,3.0763597435447934,0.11122077569050376
East Midlands,2021-01-17,2.9320874501046186,0.11648057658413546
East Midlands,2021-01-24,2.9674393774183847,0.1493362362624662
East Midlands,2021-01-31,3.0139707357667493,0.15624173682974102
East Midlands,2021-02-07,3.079115790059671,0.13945943727339777
East Midlands,2021-02-14,3.024727673816877,0.1309844683420388
East Midlands,2021-02-21,2.9633304017571143,0.16687197181629904
East Midlands,2021-02-28,2.8656051308151804,0.18409320358503292
East Midlands,2021-03-07,2.790850726233809,0.18768264344150223
East Midlands,2021-03-14,2.746202027537241,0.17929061095140014
East Midlands,2021-03-21,2.6676377853020576,0.1870172281641136
East Midlands,2021-03-28,2.514472250798776,0.196939174352574
East Midlands,2021-04-04,2.3523361762247563,0.20745708565900792
East Midlands,2021-04-11,2.233492091294379,0.2114848710398485
East Midlands,2021-04-18,2.164639787933229,0.20996989466965846
East Midlands,2021-04-25,2.063165773813698,0.21266772019489613
East Midlands,2021-05-02,1.9291842918643145,0.23505942164447116
East Midlands,2021-05-09,1.777060594884647,0.25719232111536944
East Midlands,2021-05-16,1.6755086413370137,0.27987364577157064
East Midlands,2021-05-23,1.6297765832654838,0.30516900281603715
East of England,2020-05-31,2.2689363792097796,0.29354374419902607
East of England,2020-06-07,2.2539359995555377,0.2640237683480223
East of England,2020-06-14,2.2837522988873986,0.23576210027828243
East of England,2020-06-21,2.3601987025848667,0.20584646445091695
